bill_number,term,action_date,action,chamber,order
HB1000,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1000,2023-2024,2023-01-09,"First reading, referred to Finance.",H,2
HB1000,2023-2024,2023-01-31,Public hearing in the House Committee on Finance at 8:00 AM.,H,3
HB1000,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,4
HB1001,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1001,2023-2024,2023-01-09,"First reading, referred to Postsecondary Education & Workforce.",H,2
HB1001,2023-2024,2023-01-13,Public hearing in the House Committee on Postsecondary Education & Workforce at 8:00 AM.,H,3
HB1001,2023-2024,2023-01-20,Executive action taken in the House Committee on Postsecondary Education & Workforce at 8:00 AM.,H,4
HB1001,2023-2024,2023-01-20,PEW - Majority; do pass.,H,5
HB1001,2023-2024,2023-01-24,Referred to Rules 2 Review.,H,6
HB1001,2023-2024,2023-02-03,Placed on second reading by Rules Committee.,H,7
HB1001,2023-2024,2023-02-08,Rules suspended.  Placed on Third Reading.,H,8
HB1001,2023-2024,2023-02-08,"Third reading, passed; yeas, 96; nays, 0; absent, 0; excused, 2.",H,9
HB1001,2023-2024,2023-02-10,"First reading, referred to Health & Long Term Care.",S,10
HB1001,2023-2024,2023-03-09,Public hearing in the Senate Committee on Health & Long Term Care at 10:30 AM.,S,11
HB1001,2023-2024,2023-03-14,Executive action taken in the Senate Committee on Health & Long Term Care at 8:00 AM.,S,12
HB1001,2023-2024,2023-03-14,HLTC - Majority; do pass.,S,13
HB1001,2023-2024,2023-03-16,Passed to Rules Committee for second reading.,S,14
HB1001,2023-2024,2023-03-24,Placed on second reading consent calendar.,S,15
HB1001,2023-2024,2023-03-29,Rules suspended.  Placed on Third Reading.,S,16
HB1001,2023-2024,2023-03-29,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,17
HB1001,2023-2024,2023-03-31,Speaker signed.,H,18
HB1001,2023-2024,2023-04-03,President signed.,S,19
HB1001,2023-2024,2023-04-07,Delivered to Governor.,O,20
HB1001,2023-2024,2023-04-13,Governor signed.,O,21
HB1001,2023-2024,2023-04-13,"Chapter 53, 2023 Laws.",O,22
HB1001,2023-2024,2023-04-13,Effective date 7/23/2023.,O,23
HB1002,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1002,2023-2024,2023-01-09,"First reading, referred to Community Safety, Justice, & Reentry.",H,2
HB1002,2023-2024,2023-01-16,"Public hearing in the House Committee on Community Safety, Justice, & Reentry at 1:30 PM.",H,3
HB1002,2023-2024,2023-01-26,"Executive action taken in the House Committee on Community Safety, Justice, & Reentry at 8:00 AM.",H,4
HB1002,2023-2024,2023-01-26,CSJR - Majority; do pass.,H,5
HB1002,2023-2024,2023-01-27,Referred to Rules 2 Review.,H,6
HB1002,2023-2024,2023-02-28,Rules Committee relieved of further consideration.  Placed on second reading.,H,7
HB1002,2023-2024,2023-03-01,Rules suspended.  Placed on Third Reading.,H,8
HB1002,2023-2024,2023-03-01,"Third reading, passed; yeas, 96; nays, 0; absent, 0; excused, 2.",H,9
HB1002,2023-2024,2023-03-03,"First reading, referred to Law & Justice.",S,10
HB1002,2023-2024,2023-03-13,Public hearing in the Senate Committee on Law & Justice at 10:30 AM.,S,11
HB1002,2023-2024,2023-03-22,Executive action taken in the Senate Committee on Law & Justice at 6:00 PM.,S,12
HB1002,2023-2024,2023-03-22,LAW - Majority; do pass with amendment.,S,13
HB1002,2023-2024,2023-03-24,Passed to Rules Committee for second reading.,S,14
HB1002,2023-2024,2023-03-30,Placed on second reading by Rules Committee.,S,15
HB1002,2023-2024,2023-04-05,Committee amendment adopted with no other amendments.,S,16
HB1002,2023-2024,2023-04-05,Rules suspended.  Placed on Third Reading.,S,17
HB1002,2023-2024,2023-04-05,"Third reading, passed; yeas, 48; nays, 0; absent, 0; excused, 1.",S,18
HB1002,2023-2024,2023-04-13,House concurred in Senate amendments.,H,19
HB1002,2023-2024,2023-04-13,"Passed final passage; yeas, 96; nays, 1; absent, 1; excused, 0.",H,20
HB1002,2023-2024,2023-04-13,Vote on final passage will be reconsidered.,H,21
HB1002,2023-2024,2023-04-13,"Passed final passage; yeas, 96; nays, 0; absent, 0; excused, 2.",H,22
HB1002,2023-2024,2023-04-14,Speaker signed.,H,23
HB1002,2023-2024,2023-04-17,President signed.,S,24
HB1002,2023-2024,2023-04-18,Delivered to Governor.,O,25
HB1002,2023-2024,2023-05-01,Governor signed.,O,26
HB1002,2023-2024,2023-05-01,"Chapter 196, 2023 Laws.",O,27
HB1002,2023-2024,2023-05-01,Effective date 7/23/2023.,O,28
HB1003,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1003,2023-2024,2023-01-09,"First reading, referred to Education.",H,2
HB1003,2023-2024,2023-01-23,Public hearing in the House Committee on Education at 1:30 PM.,H,3
HB1003,2023-2024,2023-02-02,"Executive session scheduled, but no action was taken in the House Committee on Education at 8:00 AM.",H,4
HB1003,2023-2024,2023-02-07,Executive action taken in the House Committee on Education at 4:00 PM.,H,5
HB1003,2023-2024,2023-02-07,"ED - Majority; 1st substitute bill be substituted, do pass.",H,6
HB1003,2023-2024,2023-02-10,Referred to Appropriations.,H,7
HB1003,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,8
HB1004,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1004,2023-2024,2023-01-09,"First reading, referred to Transportation.",H,2
HB1004,2023-2024,2023-01-25,Public hearing in the House Committee on Transportation at 4:00 PM.,H,3
HB1004,2023-2024,2023-02-02,Executive action taken in the House Committee on Transportation at 4:00 PM.,H,4
HB1004,2023-2024,2023-02-02,TR - Majority; do pass.,H,5
HB1004,2023-2024,2023-02-07,Referred to Rules 2 Review.,H,6
HB1004,2023-2024,2023-02-22,Placed on second reading suspension calendar by Rules Committee.,H,7
HB1004,2023-2024,2023-03-07,Rules suspended.  Placed on Third Reading.,H,8
HB1004,2023-2024,2023-03-07,"Third reading, passed; yeas, 95; nays, 0; absent, 0; excused, 3.",H,9
HB1004,2023-2024,2023-03-09,"First reading, referred to Transportation.",S,10
HB1004,2023-2024,2023-03-20,Executive action taken in the Senate Committee on Transportation at 4:00 PM.,S,11
HB1004,2023-2024,2023-03-20,TRAN - Majority; do pass.,S,12
HB1004,2023-2024,2023-03-22,Passed to Rules Committee for second reading.,S,13
HB1004,2023-2024,2023-03-24,Placed on second reading by Rules Committee.,S,14
HB1004,2023-2024,2023-03-31,Rules suspended.  Placed on Third Reading.,S,15
HB1004,2023-2024,2023-03-31,"Third reading, passed; yeas, 48; nays, 0; absent, 0; excused, 1.",S,16
HB1004,2023-2024,2023-04-03,Speaker signed.,H,17
HB1004,2023-2024,2023-04-04,President signed.,S,18
HB1004,2023-2024,2023-04-07,Delivered to Governor.,O,19
HB1004,2023-2024,2023-04-13,Governor signed.,O,20
HB1004,2023-2024,2023-04-13,"Chapter 54, 2023 Laws.",O,21
HB1004,2023-2024,2023-04-13,Effective date 7/23/2023.,O,22
HB1005,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1005,2023-2024,2023-01-09,"First reading, referred to Finance.",H,2
HB1005,2023-2024,2023-02-02,Public hearing in the House Committee on Finance at 1:30 PM.,H,3
HB1005,2023-2024,2023-02-16,Executive action taken in the House Committee on Finance at 1:30 PM.,H,4
HB1005,2023-2024,2023-02-16,FIN - Majority; do pass.,H,5
HB1005,2023-2024,2023-02-17,Referred to Rules 2 Review.,H,6
HB1005,2023-2024,2023-03-02,Rules Committee relieved of further consideration.  Placed on second reading.,H,7
HB1005,2023-2024,2023-04-23,Referred to Rules 2 Consideration.,H,8
HB1005,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,9
HB1006,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1006,2023-2024,2023-01-09,"First reading, referred to Community Safety, Justice, & Reentry.",H,2
HB1006,2023-2024,2023-01-09,"Public hearing in the House Committee on Community Safety, Justice, & Reentry at 1:30 PM.",H,3
HB1006,2023-2024,2023-01-19,"Executive action taken in the House Committee on Community Safety, Justice, & Reentry at 8:00 AM.",H,4
HB1006,2023-2024,2023-01-19,CSJR - Majority; do pass.,H,5
HB1006,2023-2024,2023-01-23,Referred to Rules 2 Review.,H,6
HB1006,2023-2024,2023-02-03,Placed on second reading by Rules Committee.,H,7
HB1006,2023-2024,2023-02-08,Rules suspended.  Placed on Third Reading.,H,8
HB1006,2023-2024,2023-02-08,"Third reading, passed; yeas, 96; nays, 0; absent, 0; excused, 2.",H,9
HB1006,2023-2024,2023-02-10,"First reading, referred to Law & Justice.",S,10
HB1006,2023-2024,2023-04-23,"By resolution, returned to House Rules Committee for third reading.",S,11
HB1006,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,12
HB1006,2023-2024,2024-01-08,"House Rules ""X"" file.",H,13
HB1007,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1007,2023-2024,2023-01-09,"First reading, referred to Appropriations.",H,2
HB1007,2023-2024,2023-01-16,Public hearing in the House Committee on Appropriations at 4:00 PM.,H,3
HB1007,2023-2024,2023-01-23,Executive action taken in the House Committee on Appropriations at 4:00 PM.,H,4
HB1007,2023-2024,2023-01-23,"APP - Majority; 1st substitute bill be substituted, do pass.",H,5
HB1007,2023-2024,2023-01-27,Referred to Rules 2 Review.,H,6
HB1007,2023-2024,2023-01-31,Rules Committee relieved of further consideration.,H,7
HB1007,2023-2024,2023-01-31,Placed on second reading suspension calendar.,H,8
HB1007,2023-2024,2023-02-01,1st substitute bill substituted .,H,9
HB1007,2023-2024,2023-02-01,Rules suspended.  Placed on Third Reading.,H,10
HB1007,2023-2024,2023-02-01,"Third reading, passed; yeas, 97; nays, 0; absent, 0; excused, 1.",H,11
HB1007,2023-2024,2023-02-03,"First reading, referred to Ways & Means.",S,12
HB1007,2023-2024,2023-03-13,Executive action taken in the Senate Committee on Ways & Means at 4:00 PM.,S,13
HB1007,2023-2024,2023-03-13,WM - Majority; do pass.,S,14
HB1007,2023-2024,2023-03-14,Passed to Rules Committee for second reading.,S,15
HB1007,2023-2024,2023-03-15,Placed on second reading by Rules Committee.,S,16
HB1007,2023-2024,2023-03-22,Rules suspended.  Placed on Third Reading.,S,17
HB1007,2023-2024,2023-03-22,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,18
HB1007,2023-2024,2023-03-24,Speaker signed.,H,19
HB1007,2023-2024,2023-03-27,President signed.,S,20
HB1007,2023-2024,2023-03-31,Delivered to Governor.,O,21
HB1007,2023-2024,2023-04-06,Governor signed.,O,22
HB1007,2023-2024,2023-04-06,"Chapter 18, 2023 Laws.",O,23
HB1007,2023-2024,2023-04-06,Effective date 7/23/2023.,O,24
HB1008,2023-2024,2023-12-06,Prefiled for introduction.,H,1
HB1008,2023-2024,2023-01-09,"First reading, referred to Appropriations.",H,2
HB1008,2023-2024,2023-01-16,Public hearing in the House Committee on Appropriations at 4:00 PM.,H,3
HB1008,2023-2024,2023-01-23,Executive action taken in the House Committee on Appropriations at 4:00 PM.,H,4
HB1008,2023-2024,2023-01-23,APP - Majority; do pass.,H,5
HB1008,2023-2024,2023-01-27,Referred to Rules 2 Review.,H,6
HB1008,2023-2024,2023-02-03,Placed on second reading by Rules Committee.,H,7
HB1008,2023-2024,2023-02-06,Rules suspended.  Placed on Third Reading.,H,8
HB1008,2023-2024,2023-02-06,"Third reading, passed; yeas, 93; nays, 0; absent, 0; excused, 5.",H,9
HB1008,2023-2024,2023-02-08,"First reading, referred to Ways & Means.",S,10
HB1008,2023-2024,2023-03-13,Executive action taken in the Senate Committee on Ways & Means at 4:00 PM.,S,11
HB1008,2023-2024,2023-03-13,WM - Majority; do pass.,S,12
HB1008,2023-2024,2023-03-14,Passed to Rules Committee for second reading.,S,13
HB1008,2023-2024,2023-04-07,Placed on second reading by Rules Committee.,S,14
HB1008,2023-2024,2023-04-12,Rules suspended.  Placed on Third Reading.,S,15
HB1008,2023-2024,2023-04-12,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,16
HB1008,2023-2024,2023-04-14,Speaker signed.,H,17
HB1008,2023-2024,2023-04-17,President signed.,S,18
HB1008,2023-2024,2023-04-18,Delivered to Governor.,O,19
HB1008,2023-2024,2023-04-25,Governor signed.,O,20
HB1008,2023-2024,2023-04-25,"Chapter 164, 2023 Laws.",O,21
HB1008,2023-2024,2023-04-25,Effective date 1/1/2024.,O,22
HB1009,2023-2024,2023-12-06,Prefiled for introduction.,H,1
HB1009,2023-2024,2023-01-09,"First reading, referred to Innovation, Community & Economic Development, & Veterans.",H,2
HB1009,2023-2024,2023-01-11,"Public hearing in the House Committee on Innovation, Community & Economic Development, & Veterans at 8:00 AM.",H,3
HB1009,2023-2024,2023-01-13,"Executive action taken in the House Committee on Innovation, Community & Economic Development, & Veterans at 10:30 AM.",H,4
HB1009,2023-2024,2023-01-13,"ICEV - Majority; 1st substitute bill be substituted, do pass.",H,5
HB1009,2023-2024,2023-01-17,Referred to Appropriations.,H,6
HB1009,2023-2024,2023-01-30,Public hearing in the House Committee on Appropriations at 4:00 PM.,H,7
HB1009,2023-2024,2023-02-02,Executive action taken in the House Committee on Appropriations at 4:00 PM.,H,8
HB1009,2023-2024,2023-02-02,"APP - Majority; 2nd substitute bill be substituted, do pass.",H,9
HB1009,2023-2024,2023-02-06,Referred to Rules 2 Review.,H,10
HB1009,2023-2024,2023-02-08,Placed on second reading by Rules Committee.,H,11
HB1009,2023-2024,2023-02-15,2nd substitute bill substituted .,H,12
HB1009,2023-2024,2023-02-15,Rules suspended.  Placed on Third Reading.,H,13
HB1009,2023-2024,2023-02-15,"Third reading, passed; yeas, 98; nays, 0; absent, 0; excused, 0.",H,14
HB1009,2023-2024,2023-02-17,"First reading, referred to Labor & Commerce.",S,15
HB1009,2023-2024,2023-03-13,Public hearing in the Senate Committee on Labor & Commerce at 10:30 AM.,S,16
HB1009,2023-2024,2023-03-16,"Executive session scheduled, but no action was taken in the Senate Committee on Labor & Commerce at 8:00 AM.",S,17
HB1009,2023-2024,2023-03-20,Executive action taken in the Senate Committee on Labor & Commerce at 10:30 AM.,S,18
HB1009,2023-2024,2023-03-20,LC - Majority; do pass.,S,19
HB1009,2023-2024,2023-03-20,And refer to Ways & Means.,S,20
HB1009,2023-2024,2023-03-21,Referred to Ways & Means.,S,21
HB1009,2023-2024,2023-03-28,Public hearing in the Senate Committee on Ways & Means at 4:00 PM.,S,22
HB1009,2023-2024,2023-04-03,Executive action taken in the Senate Committee on Ways & Means at 10:00 AM.,S,23
HB1009,2023-2024,2023-04-03,WM - Majority; do pass with amendment.,S,24
HB1009,2023-2024,2023-04-04,Passed to Rules Committee for second reading.,S,25
HB1009,2023-2024,2023-04-05,Placed on second reading by Rules Committee.,S,26
HB1009,2023-2024,2023-04-10,Committee amendment adopted with no other amendments.,S,27
HB1009,2023-2024,2023-04-10,Rules suspended.  Placed on Third Reading.,S,28
HB1009,2023-2024,2023-04-10,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,29
HB1009,2023-2024,2023-04-13,House concurred in Senate amendments.,H,30
HB1009,2023-2024,2023-04-13,"Passed final passage; yeas, 97; nays, 0; absent, 0; excused, 1.",H,31
HB1009,2023-2024,2023-04-14,Speaker signed.,H,32
HB1009,2023-2024,2023-04-17,President signed.,S,33
HB1009,2023-2024,2023-04-18,Delivered to Governor.,O,34
HB1009,2023-2024,2023-04-25,Governor signed.,O,35
HB1009,2023-2024,2023-04-25,"Chapter 165, 2023 Laws.",O,36
HB1009,2023-2024,2023-04-25,Effective date 7/23/2023*.,O,37
HB1010,2023-2024,2023-12-06,Prefiled for introduction.,H,1
HB1010,2023-2024,2023-01-09,"First reading, referred to Agriculture and Natural Resources.",H,2
HB1010,2023-2024,2023-01-13,Public hearing in the House Committee on Agriculture & Natural Resources at 10:30 AM.,H,3
HB1010,2023-2024,2023-01-17,Executive action taken in the House Committee on Agriculture & Natural Resources at 10:30 AM.,H,4
HB1010,2023-2024,2023-01-17,"AGNR - Majority; 1st substitute bill be substituted, do pass.",H,5
HB1010,2023-2024,2023-01-19,Referred to Appropriations.,H,6
HB1010,2023-2024,2023-01-30,Public hearing in the House Committee on Appropriations at 4:00 PM.,H,7
HB1010,2023-2024,2023-02-02,Executive action taken in the House Committee on Appropriations at 4:00 PM.,H,8
HB1010,2023-2024,2023-02-02,"APP - Majority; 2nd substitute bill be substituted, do pass.",H,9
HB1010,2023-2024,2023-02-07,Referred to Rules 2 Review.,H,10
HB1010,2023-2024,2023-03-01,Rules Committee relieved of further consideration.  Placed on second reading.,H,11
HB1010,2023-2024,2023-03-03,2nd substitute bill substituted .,H,12
HB1010,2023-2024,2023-03-03,Rules suspended.  Placed on Third Reading.,H,13
HB1010,2023-2024,2023-03-03,"Third reading, passed; yeas, 95; nays, 0; absent, 0; excused, 3.",H,14
HB1010,2023-2024,2023-03-07,"First reading, referred to Agriculture, Water, Natural Resources & Parks.",S,15
HB1010,2023-2024,2023-03-13,"Public hearing in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,16
HB1010,2023-2024,2023-03-16,"Executive session scheduled, but no action was taken in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,17
HB1010,2023-2024,2023-04-23,"By resolution, returned to House Rules Committee for third reading.",S,18
HB1010,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,19
HB1010,2023-2024,2024-01-16,Rules Committee relieved of further consideration.  Placed on third reading.,H,20
HB1010,2023-2024,2024-02-20,Returned to Rules Committee for third reading.,H,21
HB1010,2023-2024,2024-02-20,"House Rules ""X"" file.",H,22
HB1011,2023-2024,2023-12-06,Prefiled for introduction.,H,1
HB1011,2023-2024,2023-01-09,"First reading, referred to Health Care & Wellness.",H,2
HB1011,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,3
HB1012,2023-2024,2023-12-06,Prefiled for introduction.,H,1
HB1012,2023-2024,2023-01-09,"First reading, referred to Innovation, Community & Economic Development, & Veterans.",H,2
HB1012,2023-2024,2023-01-10,"Public hearing in the House Committee on Innovation, Community & Economic Development, & Veterans at 10:30 AM.",H,3
HB1012,2023-2024,2023-01-13,"Executive action taken in the House Committee on Innovation, Community & Economic Development, & Veterans at 10:30 AM.",H,4
HB1012,2023-2024,2023-01-13,ICEV - Majority; do pass.,H,5
HB1012,2023-2024,2023-01-13,Minority; without recommendation.,H,6
HB1012,2023-2024,2023-01-17,Referred to Appropriations.,H,7
HB1012,2023-2024,2023-01-30,Public hearing in the House Committee on Appropriations at 4:00 PM.,H,8
HB1012,2023-2024,2023-02-16,Executive action taken in the House Committee on Appropriations at 4:00 PM.,H,9
HB1012,2023-2024,2023-02-16,"APP - Majority; 1st substitute bill be substituted, do pass.",H,10
HB1012,2023-2024,2023-02-16,Minority; do not pass.,H,11
HB1012,2023-2024,2023-02-16,Minority; without recommendation.,H,12
HB1012,2023-2024,2023-02-17,Referred to Rules 2 Review.,H,13
HB1012,2023-2024,2023-02-22,Placed on second reading by Rules Committee.,H,14
HB1012,2023-2024,2023-02-28,1st substitute bill substituted .,H,15
HB1012,2023-2024,2023-02-28,Rules suspended.  Placed on Third Reading.,H,16
HB1012,2023-2024,2023-02-28,"Third reading, passed; yeas, 68; nays, 29; absent, 0; excused, 1.",H,17
HB1012,2023-2024,2023-03-02,"First reading, referred to State Government & Elections.",S,18
HB1012,2023-2024,2023-03-14,Public hearing in the Senate Committee on State Government & Elections at 1:30 PM.,S,19
HB1012,2023-2024,2023-03-17,"Executive session scheduled, but no action was taken in the Senate Committee on State Government & Elections at 8:00 AM.",S,20
HB1012,2023-2024,2023-03-24,Executive action taken in the Senate Committee on State Government & Elections at 8:00 AM.,S,21
HB1012,2023-2024,2023-03-24,SGE - Majority; do pass.,S,22
HB1012,2023-2024,2023-03-24,Minority; do not pass.,S,23
HB1012,2023-2024,2023-03-24,And refer to Ways & Means.,S,24
HB1012,2023-2024,2023-03-27,Referred to Ways & Means.,S,25
HB1012,2023-2024,2023-03-31,Public hearing in the Senate Committee on Ways & Means at 12:45 PM.,S,26
HB1012,2023-2024,2023-04-03,"Executive session scheduled, but no action was taken in the Senate Committee on Ways & Means at 10:00 AM.",S,27
HB1012,2023-2024,2023-04-23,"By resolution, returned to House Rules Committee for third reading.",S,28
HB1012,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,29
HB1012,2023-2024,2024-01-08,Rules Committee relieved of further consideration.  Placed on third reading.,H,30
HB1012,2023-2024,2024-01-08,Rules suspended.  Placed on Third Reading.,H,31
HB1012,2023-2024,2024-01-08,"Third reading, passed; yeas, 68; nays, 30; absent, 0; excused, 0.",H,32
HB1012,2023-2024,2024-01-10,"First reading, referred to State Government & Elections.",S,33
HB1012,2023-2024,2024-01-30,Public hearing in the Senate Committee on State Government & Elections at 1:30 PM.,S,34
HB1012,2023-2024,2024-02-20,Executive action taken in the Senate Committee on State Government & Elections at 1:30 PM.,S,35
HB1012,2023-2024,2024-02-20,SGE - Majority; do pass with amendment.,S,36
HB1012,2023-2024,2024-02-20,And refer to Ways & Means.,S,37
HB1012,2023-2024,2024-02-20,Minority; do not pass.,S,38
HB1012,2023-2024,2024-02-20,Minority; without recommendation.,S,39
HB1012,2023-2024,2024-02-21,Referred to Ways & Means.,S,40
HB1012,2023-2024,2024-02-23,Public hearing in the Senate Committee on Ways & Means at 1:30 PM.,S,41
HB1012,2023-2024,2024-02-26,Executive action taken in the Senate Committee on Ways & Means at 10:00 AM.,S,42
HB1012,2023-2024,2024-02-26,WM - Majority; do pass with amendment by State Government & Elections.,S,43
HB1012,2023-2024,2024-02-26,Minority; do not pass.,S,44
HB1012,2023-2024,2024-02-26,Minority; without recommendation.,S,45
HB1012,2023-2024,2024-02-26,Passed to Rules Committee for second reading.,S,46
HB1012,2023-2024,2024-02-27,Placed on second reading by Rules Committee.,S,47
HB1012,2023-2024,2024-03-01,Committee amendment adopted with no other amendments.,S,48
HB1012,2023-2024,2024-03-01,Rules suspended.  Placed on Third Reading.,S,49
HB1012,2023-2024,2024-03-01,"Third reading, passed; yeas, 31; nays, 18; absent, 0; excused, 0.",S,50
HB1012,2023-2024,2024-03-05,House concurred in Senate amendments.,H,51
HB1012,2023-2024,2024-03-05,"Passed final passage; yeas, 70; nays, 25; absent, 0; excused, 2.",H,52
HB1012,2023-2024,2024-03-06,Speaker signed.,H,53
HB1012,2023-2024,2024-03-07,President signed.,S,54
HB1012,2023-2024,2024-03-07,Delivered to Governor.,O,55
HB1012,2023-2024,2024-03-19,Governor signed.,O,56
HB1012,2023-2024,2024-03-19,"Chapter 172, 2024 Laws.",O,57
HB1012,2023-2024,2024-03-19,Effective date 6/6/2024.,O,58
HB1013,2023-2024,2023-12-06,Prefiled for introduction.,H,1
HB1013,2023-2024,2023-01-09,"First reading, referred to Education.",H,2
HB1013,2023-2024,2023-01-16,Public hearing in the House Committee on Education at 1:30 PM.,H,3
HB1013,2023-2024,2023-01-26,Executive action taken in the House Committee on Education at 8:00 AM.,H,4
HB1013,2023-2024,2023-01-26,"ED - Majority; 1st substitute bill be substituted, do pass.",H,5
HB1013,2023-2024,2023-01-30,Referred to Appropriations.,H,6
HB1013,2023-2024,2023-02-08,Public hearing in the House Committee on Appropriations at 4:00 PM.,H,7
HB1013,2023-2024,2023-02-23,Executive action taken in the House Committee on Appropriations at 9:00 AM.,H,8
HB1013,2023-2024,2023-02-23,"APP - Majority; 2nd substitute bill be substituted, do pass.",H,9
HB1013,2023-2024,2023-02-24,Referred to Rules 2 Review.,H,10
HB1013,2023-2024,2023-02-28,Rules Committee relieved of further consideration.  Placed on second reading.,H,11
HB1013,2023-2024,2023-03-02,2nd substitute bill substituted .,H,12
HB1013,2023-2024,2023-03-02,Rules suspended.  Placed on Third Reading.,H,13
HB1013,2023-2024,2023-03-02,"Third reading, passed; yeas, 97; nays, 0; absent, 0; excused, 1.",H,14
HB1013,2023-2024,2023-03-06,"First reading, referred to Early Learning & K-12 Education.",S,15
HB1013,2023-2024,2023-03-15,Public hearing in the Senate Committee on Early Learning & K-12 Education at 1:30 PM.,S,16
HB1013,2023-2024,2023-03-23,Executive action taken in the Senate Committee on Early Learning & K-12 Education at 1:30 PM.,S,17
HB1013,2023-2024,2023-03-23,EDU - Majority; do pass.,S,18
HB1013,2023-2024,2023-03-23,And refer to Ways & Means.,S,19
HB1013,2023-2024,2023-03-24,Referred to Ways & Means.,S,20
HB1013,2023-2024,2023-03-31,Public hearing in the Senate Committee on Ways & Means at 12:45 PM.,S,21
HB1013,2023-2024,2023-04-04,Executive action taken in the Senate Committee on Ways & Means at 10:00 AM.,S,22
HB1013,2023-2024,2023-04-04,WM - Majority; do pass.,S,23
HB1013,2023-2024,2023-04-04,Passed to Rules Committee for second reading.,S,24
HB1013,2023-2024,2023-04-05,Placed on second reading by Rules Committee.,S,25
HB1013,2023-2024,2023-04-10,Rules suspended.  Placed on Third Reading.,S,26
HB1013,2023-2024,2023-04-10,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,27
HB1013,2023-2024,2023-04-11,Speaker signed.,H,28
HB1013,2023-2024,2023-04-12,President signed.,S,29
HB1013,2023-2024,2023-04-14,Delivered to Governor.,O,30
HB1013,2023-2024,2023-04-20,Governor signed.,O,31
HB1013,2023-2024,2023-04-20,"Chapter 128, 2023 Laws.",O,32
HB1013,2023-2024,2023-04-20,Effective date 7/23/2023.,O,33
HB1014,2023-2024,2023-12-07,Prefiled for introduction.,H,1
HB1014,2023-2024,2023-01-09,"First reading, referred to Capital Budget.",H,2
HB1014,2023-2024,2023-01-19,Public hearing in the House Committee on Capital Budget at 1:30 PM.,H,3
HB1014,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,4
HB1015,2023-2024,2023-12-07,Prefiled for introduction.,H,1
HB1015,2023-2024,2023-01-09,"First reading, referred to Education.",H,2
HB1015,2023-2024,2023-01-17,Public hearing in the House Committee on Education at 4:00 PM.,H,3
HB1015,2023-2024,2023-01-26,Executive action taken in the House Committee on Education at 8:00 AM.,H,4
HB1015,2023-2024,2023-01-26,"ED - Majority; 1st substitute bill be substituted, do pass.",H,5
HB1015,2023-2024,2023-01-30,Referred to Rules 2 Review.,H,6
HB1015,2023-2024,2023-02-01,Rules Committee relieved of further consideration.  Placed on second reading.,H,7
HB1015,2023-2024,2023-02-02,1st substitute bill substituted .,H,8
HB1015,2023-2024,2023-02-02,Rules suspended.  Placed on Third Reading.,H,9
HB1015,2023-2024,2023-02-02,"Third reading, passed; yeas, 97; nays, 0; absent, 0; excused, 1.",H,10
HB1015,2023-2024,2023-02-06,"First reading, referred to Early Learning & K-12 Education.",S,11
HB1015,2023-2024,2023-03-09,Public hearing in the Senate Committee on Early Learning & K-12 Education at 1:30 PM.,S,12
HB1015,2023-2024,2023-03-13,Executive action taken in the Senate Committee on Early Learning & K-12 Education at 1:30 PM.,S,13
HB1015,2023-2024,2023-03-13,EDU - Majority; do pass.,S,14
HB1015,2023-2024,2023-03-15,Passed to Rules Committee for second reading.,S,15
HB1015,2023-2024,2023-03-15,Placed on second reading by Rules Committee.,S,16
HB1015,2023-2024,2023-03-22,Rules suspended.  Placed on Third Reading.,S,17
HB1015,2023-2024,2023-03-22,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,18
HB1015,2023-2024,2023-03-24,Speaker signed.,H,19
HB1015,2023-2024,2023-03-27,President signed.,S,20
HB1015,2023-2024,2023-03-31,Delivered to Governor.,O,21
HB1015,2023-2024,2023-04-06,Governor signed.,O,22
HB1015,2023-2024,2023-04-06,"Chapter 19, 2023 Laws.",O,23
HB1015,2023-2024,2023-04-19,Effective date 7/23/2023.,O,24
