HALNRW,"Agriculture, Land Use, Natural Resources, and Water",House Committee On,H,
HBHHC,Behavioral Health and Health Care,House Committee On,H,
HBL,Business and Labor,House Committee On,H,
HCEE,"Climate, Energy, and Environment",House Committee On,H,
HCOND,Conduct,House Committee On,H,
HECDSB,Economic Development and Small Business,House Committee On,H,
HECHS,Early Childhood and Human Services,House Committee On,H,
HED,Education,House Committee On,H,
HEMGGV,"Emergency Management, General Government, and Veterans",House Committee On,H,
HGAMRG,Gambling Regulation,House Committee On,H,
HHED,Higher Education,House Committee On,H,
HHOUSH,Housing and Homelessness,House Committee On,H,
HJUD,Judiciary,House Committee On,H,
HREV,Revenue,House Committee On,H,
HRULES,Rules,House Committee On,H,
JACSR,Addiction and Community Safety Response,Joint Committee On,J,
JBMTES,Ballot Measure Titles and Explanatory Statements,Joint Committee On,J,
JCOND,Conduct,Joint Committee On,J,
JCT,Transportation,Joint Committee On,J,
JI5B,Interstate 5 Bridge,Joint Committee On,J,
JLAC,Legislative Administration,Joint Committee On,J,
JLAUD,Legislative Audits,Joint Committee On,J,
JLCC,Legislative Counsel,Joint Committee On,J,
JLCCPR,Public Records,Joint Subcommittee On,J,JLCC
JLCIMT,Information Management and Technology,Joint Committee On,J,
JLPR,Legislative Policy and Research,Joint Committee On,J,
JPEA,Public Education Appropriation,Joint Committee On,J,
JTSSTP,Transportation Planning,Joint Special Subcommittee On,J,JCT
JWM,Ways and Means,Joint Committee On,J,
JWMCC,Capital Construction,Joint Subcommittee On,J,JWM
JWMED,Education,Joint Subcommittee On,J,JWM
JWMGG,General Government,Joint Subcommittee On,J,JWM
JWMHS,Human Services,Joint Subcommittee On,J,JWM
JWMNR,Natural Resources,Joint Subcommittee On,J,JWM
JWMPS,Public Safety,Joint Subcommittee On,J,JWM
JWMTR,Transportation and Economic Development,Joint Subcommittee On,J,JWM
SCOND,Conduct,Senate Committee On,S,
SED,Education,Senate Committee On,S,
SEE,Energy and Environment,Senate Committee On,S,
SFR,Finance and Revenue,Senate Committee On,S,
SHC,Health Care,Senate Committee On,S,
SHDEV,Housing and Development,Senate Committee On,S,
SHS,Human Services,Senate Committee On,S,
SJUD,Judiciary,Senate Committee On,S,
SLB,Labor and Business,Senate Committee On,S,
SNR,Natural Resources and Wildfire,Senate Committee On,S,
SRULES,Rules,Senate Committee On,S,
SVEMFW,"Veterans, Emergency Management, Federal and World Affairs",Senate Committee On,S,
