bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 164,72R,Relating to the authority of a municipality in Aransas County to require that property owners connect their property to a sewer system.,ARANSAS COUNTY (G0653); City Government--Utilities (I0068); Environment--Solid Waste (I0330); Property Interests--Real Property (I0595),Armbrister,,"Hunter, Todd",,Urban Affairs,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB164
SB 165,72R,Relating to the salary paid the county attorney of Fayette County; making an appropriation.,FAYETTE COUNTY (G9956); Courts--Prosecuting Attorneys (I0165); State Finances--Appropriations (I0746),Armbrister,,Saunders,,Appropriations,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB165
SB 214,72R,Relating to the inclusion of certain roads in the state highway system for purposes of right-of-way acquisition.,County Government--Roads (I0099); Highways (I0390),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB214
SB 215,72R,Relating to noise regulation of sport shooting ranges.,"Amusements, Games, Sports (I0034); Environment--Noise (I0335)",Armbrister,,Jackson,,State Affairs,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB215
SB 225,72R,Relating to the peace officer college loan program.,Education--Higher--Student Loans (I0235); Law Enforcement (I0510),Armbrister,,,,,,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB225
SB 227,72R,Relating to raffles conducted by certain nonprofit organizations for charitable purposes.,"Amusements, Games, Sports (I0034); Charitable & Nonprofit Organizations (I0055)",Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB227
SB 248,72R,"Relating to the types of inmates housed in a county jail or a correctional facility financed, designed, constructed, leased, operated, purchased, maintained, or managed by a private vendor for a county.",Corrections--Jails & Prisons (I0092),Armbrister,,,,,,Criminal Justice,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB248
SB 272,72R,"Relating to the prevention of, and the damage, cleanup, costs, and liability from spills or discharges which threaten waters in the state; providing for adequate response to spills of oil and other hazardous substances; levying a tax on crude oil; establishing a trust fund for spills and discharges; amending licensing requirements for pilots in state waters; and providing for civil and criminal penalties.","Coastal Affairs & Beaches (I0067); Environment--Water (I0320); Taxation--State (I0790); SPILL PREVENTION ACT OF 1991, TEXAS (P9968); SPILL RESPONSE FUND, TEXAS (P9970); SPILL TRUST FUND, TEXAS (P9969); OIL SPILLS (S9802)",Armbrister,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB272
SB 273,72R,Relating to the privileges of a holder of a state parklands passport.,Aging (I0015); Parks & Wildlife--Parks (I0555),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB273
SB 293,72R,Relating to the date on which a taxing unit is required to adopt a tax rate for the current year.,Taxation--Property-Tax Rate (I0794),Armbrister,,Earley,,Ways & Means,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=72R&Bill=SB293
