bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 119,83R,Relating to the operation of special student recovery programs by certain school districts.,"Education--Primary & Secondary--Accountability (I0007); Education--Primary & Secondary--Finance (I0250); Education--Primary & Secondary--Testing (I0229); Education--School Districts (I0220); BORDER (S0045); DROPOUTS & AT-RISK STUDENTS (S0088); EDUCATION, COMMISSIONER OF (V9954)",Rodríguez,,Márquez; Moody,,Public Education,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB119
SB 120,83R,Relating to the creation of the Texas Tech University Health Sciences Center at El Paso as a component institution of the Texas Tech University System.,Education--Higher--Finance (I0232); Education--Higher--Health Institutions (I0237); Education--Higher--Institutions & Programs (I0223); TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER AT EL PASO (U0176); TEXAS TECH UNIVERSITY SYSTEM (U0027),Rodríguez,Duncan; Garcia,"Gonzalez, Naomi; Branch","González, Mary; Márquez; Moody; Pickett",Higher Education,Out of committee,Higher Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB120
SB 121,83R,Relating to prohibited retaliation against certain state or local public employees for reporting to certain persons violations of law.,City Government--Employees/Officers (I0061); County Government--Employees/Officers (I0095); Labor--Management Relations (I0465); State Employees (I0626); WHISTLEBLOWERS (S0025),Rodríguez,,Márquez,,State Affairs,Out of committee,Open Government,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB121
SB 122,83R,Relating to the removal from office of a member of the board of trustees of an independent school district.,Education--School Districts (I0220); Elections--School District (I0283),Rodríguez,,Márquez; Moody; Capriglione,,Public Education,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB122
SB 123,83R,Relating to the authority of the commissioner of education to issue subpoenas and conduct accreditation investigations.,"Education--Primary & Secondary--Accountability (I0007); Education--Primary & Secondary--General (I0230); SUBPOENAS (S8341); EDUCATION, COMMISSIONER OF (V9954)",Rodríguez,,"Márquez; Moody; Gonzalez, Naomi",,Public Education,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB123
SB 124,83R,Relating to the punishment for the offense of tampering with certain governmental records based on certain reporting for school districts and open-enrollment charter schools.,Crimes--Miscellaneous (I0200); Education--Primary & Secondary--Accountability (I0007); Education--Primary & Secondary--Charter Schools (I0245); Education--Primary & Secondary--Testing (I0229),Rodríguez,,"Márquez; Moody; Gonzalez, Naomi",,Criminal Jurisprudence,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB124
SB 137,83R,Relating to the recall of members of school district boards of trustees.,"Education--School Districts (I0220); Elections--Initiative, Referendum & Recall (I0300); Elections--School District (I0283)",RodrÃ­guez,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB137
SB 304,83R,Relating to requiring solar panels to be offered by certain builders of new homes.,Business & Commerce--General (I0050); Energy--Solar (I0316); Property Interests--Real Property (I0595); BUILDING CONSTRUCTION (S0426),RodrÃ­guez,,,,,,Business & Commerce,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB304
SB 305,83R,Relating to an exemption from the sales tax for certain solar energy devices.,Energy--Solar (I0316); Taxation--Sales (I0800),RodrÃ­guez,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB305
SB 331,83R,Relating to the composition of the El Paso County juvenile board.,EL PASO COUNTY (G0873); Juvenile Boards & Officers (I0450),RodrÃ­guez,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB331
SB 332,83R,Relating to commissioners court oversight of certain emergency services districts.,MEXICO (G2781); UNITED MEXICAN STATES (G0156); County Government--General (I0096); Health--Emergency Services & Personnel (I0384); Special Districts & Authorities--Miscellaneous (I0770); BORDER (S0045),Rodríguez,,Márquez,,County Affairs,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB332
SB 333,83R,Relating to the designation of portions of State Highway 17 and State Highway 67 as the General Alfred Valenzuela Highway.,"BALMORHEA, CITY OF (G0182); PRESIDIO, CITY OF (G0320); Highways (I0390); GENERAL ALFRED VALENZUELA HIGHWAY (S0754); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",RodrÃ­guez,,,,,,Transportation,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB333
SB 334,83R,Relating to preliminary review of complaints filed with a county ethics commission.,County Government--Employees/Officers (I0095); Ethics (I0345),Rodríguez,,Márquez,,County Affairs,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB334
SB 335,83R,Relating to the use of a photographic traffic enforcement system at a railroad crossing.,City Government--General (I0060); Highways (I0390); Transportation--Railroads (I0821); Vehicles & Traffic--Equipment (I0855); Vehicles & Traffic--Rules of Road (I0860); PHOTOGRAPHIC TRAFFIC SIGNALS (S0439),RodrÃ­guez,,,,,,Transportation,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=83R&Bill=SB335
