bill_number,session_num,session,bill_id_num,title,intro_sponsor,primary_sponsors,cosponsors,keywords,summary,bill_json
HCM2001,127,2023_2024_First_Regular,78219,postal service; urging continued independence,,SALMAN,DE LOS SANTOS; STAHL HAMILTON,POSTAL SERVICE; UNITED STATES POSTAL SERVICE; URGING CONGRESS; URGING CONTINUED INDEPENDENCE,HCM2001 - postal service; urging continued independence,https://apps.azleg.gov/api/Bill/?billNumber=HCM2001&sessionId=127
HCM2002,127,2023_2024_First_Regular,78317,federal lands; housing shortage,,GRIFFIN,,FEDERAL LANDS; HOUSING SHORTAGE; RESIDENTIAL HOUSING; UNITED STATES GOVERNMENT,HCM2002 - federal lands; housing shortage,https://apps.azleg.gov/api/Bill/?billNumber=HCM2002&sessionId=127
HCM2003,127,2023_2024_First_Regular,78322,technical correction; urging the president,,GRIFFIN,,TECHNICAL CORRECTION; URGING THE PRESIDENT,HCM2003 - (NOW: critical minerals; copper; urging inclusion),https://apps.azleg.gov/api/Bill/?billNumber=HCM2003&sessionId=127
HCM2004,127,2023_2024_First_Regular,78623,urging Congress; national forest health,,GRIFFIN,,FOREST MANAGEMENT; NATIONAL FOREST HEALTH; URGING CONGRESS,HCM2004 - urging Congress; national forest health,https://apps.azleg.gov/api/Bill/?billNumber=HCM2004&sessionId=127
HCM2005,127,2023_2024_First_Regular,78626,hunting; angling; wildlife conservation,,GRIFFIN,,ANGLING; HUNTING; URGING CONGRESS; WILDLIFE CONSERVATION,HCM2005 - hunting; angling; wildlife conservation,https://apps.azleg.gov/api/Bill/?billNumber=HCM2005&sessionId=127
HCM2006,127,2023_2024_First_Regular,78627,urging eradication; salt cedars; waterways,,GRIFFIN,,SALT CEDAR; URGING ERADICATION; WATERWAYS,HCM2006 - urging eradication; salt cedars; waterways,https://apps.azleg.gov/api/Bill/?billNumber=HCM2006&sessionId=127
HCM2007,127,2023_2024_First_Regular,78953,state immigration enforcement; urging Congress,,GRIFFIN,CARROLL,STATE IMMIGRATION ENFORCEMENT; URGING CONGRESS,HCM2007 - state immigration enforcement; urging Congress,https://apps.azleg.gov/api/Bill/?billNumber=HCM2007&sessionId=127
HCM2008,127,2023_2024_First_Regular,79662,air quality; ozone standards; opposing,,CARBONE,,AIR QUALITY; CONCURRENT MEMORIAL; OPPOSING; OZONE STANDARDS; URGING CONGRESS; URGING THE PRESIDENT,HCM2008 - air quality; ozone standards; opposing,https://apps.azleg.gov/api/Bill/?billNumber=HCM2008&sessionId=127
HCR2001,127,2023_2024_First_Regular,78066,school district expenditures; authorization.,,COOK,,AUTHORIZATION; CONSTITUTIONAL EXPENDITURE LIMITATION; LOCAL REVENUES; SCHOOL DISTRICT EXPENDITURES,HCR2001 - school district expenditures; authorization.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2001&sessionId=127
HCR2002,127,2023_2024_First_Regular,78085,school district expenditures; authorization,,GRESS,DUNN,AUTHORIZATION; CONSTITUTIONAL EXPENDITURE LIMITATION; LOCAL REVENUES; SCHOOL DISTRICT EXPENDITURES; SCHOOL DISTRICTS,HCR2002 - school district expenditures; authorization,https://apps.azleg.gov/api/Bill/?billNumber=HCR2002&sessionId=127
HCR2003,127,2023_2024_First_Regular,78094,elections; bonds; technical correction,,PARKER J,,BOND ELECTIONS; BONDS; CONSTITUTION OF ARIZONA; ELECTIONS; TECHNICAL CORRECTION,HCR2003 - elections; bonds; technical correction,https://apps.azleg.gov/api/Bill/?billNumber=HCR2003&sessionId=127
HCR2004,127,2023_2024_First_Regular,78142,legislators; minimum age of eighteen,,GRESS,AGUILAR; AUSTIN; MARSHALL; MIRANDA; ORTIZ; SCHWIEBERT; SMITH; TERECH; KAISER,CONSTITUTION OF ARIZONA; LEGISLATORS; MINIMUM AGE; QUALIFICATIONS,HCR2004 - legislators; minimum age of eighteen,https://apps.azleg.gov/api/Bill/?billNumber=HCR2004&sessionId=127
HCR2005,127,2023_2024_First_Regular,78162,school districts; expenditure limitation; repeal...,,GUTIERREZ,BRAVO; CANO; CONTRERAS P; DE LOS SANTOS; HERNANDEZ M; MATHIS; ORTIZ; PAWLIK; QUIÑONEZ; SANDOVAL; SCHWIEBERT; SEAMAN; STAHL HAMILTON; TERECH; TRAVERS,CONSTITUTION OF ARIZONA; EXPENDITURE LIMITATION; REPEAL; SCHOOL DISTRICTS,HCR2005 - school districts; expenditure limitation; repeal...,https://apps.azleg.gov/api/Bill/?billNumber=HCR2005&sessionId=127
HCR2006,127,2023_2024_First_Regular,78170,bonds; elections; technical correction,,HEAP,HARRIS; JONES; SMITH,BOND ELECTIONS; BONDS; CONSTITUTION OF ARIZONA; ELECTIONS; TECHNICAL CORRECTION,HCR2006 - (NOW: sessions of legislature; repeal sessions),https://apps.azleg.gov/api/Bill/?billNumber=HCR2006&sessionId=127
HCR2007,127,2023_2024_First_Regular,78217,slavery; indentured servitude; prohibition,,SALMAN,AGUILAR; DE LOS SANTOS; GUTIERREZ; ORTIZ; STAHL HAMILTON,CONSTITUTION OF ARIZONA; DECLARATION OF RIGHTS; INDENTURED SERVITUDE; PROHIBITION; SLAVERY,HCR2007 - slavery; indentured servitude; prohibition,https://apps.azleg.gov/api/Bill/?billNumber=HCR2007&sessionId=127
HCR2008,127,2023_2024_First_Regular,78218,right to work; repeal,,SALMAN,DE LOS SANTOS; STAHL HAMILTON,CONSTITUTION OF ARIZONA; REPEAL; RIGHT TO WORK,HCR2008 - right to work; repeal,https://apps.azleg.gov/api/Bill/?billNumber=HCR2008&sessionId=127
HCR2009,127,2023_2024_First_Regular,78209,constitutional right to vote,,SALMAN,DE LOS SANTOS,CONSTITUTION OF ARIZONA; CONSTITUTIONAL RIGHT TO VOTE; QUALIFICATION OF VOTERS; VOTING RIGHTS,HCR2009 - constitutional right to vote,https://apps.azleg.gov/api/Bill/?billNumber=HCR2009&sessionId=127
HCR2010,127,2023_2024_First_Regular,78250,expenditure limitation; school districts,,PAWLIK,GUTIERREZ; LONGDON; MATHIS; SALMAN; TERECH,CONSTITUTION OF ARIZONA; EXPENDITURE LIMITATIONS; SCHOOL DISTRICTS,HCR2010 - expenditure limitation; school districts,https://apps.azleg.gov/api/Bill/?billNumber=HCR2010&sessionId=127
HCR2011,127,2023_2024_First_Regular,78264,vacation rentals; short-term rentals,,SCHWIEBERT,AGUILAR; BLATTMAN; CANO; CONTRERAS L; CONTRERAS P; GUTIERREZ; HERNANDEZ M; LONGDON; MATHIS; ORTIZ; PESHLAKAI; QUIÑONEZ; SEAMAN; SHAH; STAHL HAMILTON; TERECH; EPSTEIN; MARSH,SHORT-TERM RENTALS; VACATION RENTALS,HCR2011 - vacation rentals; short-term rentals,https://apps.azleg.gov/api/Bill/?billNumber=HCR2011&sessionId=127
HCR2012,127,2023_2024_First_Regular,78318,support; water management policies,,GRIFFIN,,SUPPORT; WATER MANAGEMENT POLICIES; WATER MANAGEMENT PRACTICES,HCR2012 - (NOW: water management policies; support),https://apps.azleg.gov/api/Bill/?billNumber=HCR2012&sessionId=127
HCR2013,127,2023_2024_First_Regular,78348,clean and healthy environment,,DE LOS SANTOS,AGUILAR; GUTIERREZ; MATHIS; ORTIZ; SANDOVAL; TERECH; TRAVERS,CLEAN AND HEALTHY ENVIRONMENT; CONSTITUTION OF ARIZONA; NATURAL RESOURCES,HCR2013 - clean and healthy environment,https://apps.azleg.gov/api/Bill/?billNumber=HCR2013&sessionId=127
HCR2014,127,2023_2024_First_Regular,78349,same-sex marriage; constitutional right,,DE LOS SANTOS,AGUILAR; GUTIERREZ; MATHIS; ORTIZ; SANDOVAL; STAHL HAMILTON; TERECH; TRAVERS,CONSTITUTION OF ARIZONA; CONSTITUTIONAL RIGHTS; MARRIAGE; SAME-SEX MARRIAGE,HCR2014 - same-sex marriage; constitutional right,https://apps.azleg.gov/api/Bill/?billNumber=HCR2014&sessionId=127
HCR2015,127,2023_2024_First_Regular,78399,school districts; expenditure limitation; repeal..,,COOK,BRAVO; CONTRERAS L; GUTIERREZ; HERNANDEZ A; HERNANDEZ L; PAWLIK; SCHWIEBERT; SEAMAN; STAHL HAMILTON; TERECH; TRAVERS; MARSH,CONSTITUTION OF ARIZONA; EXPENDITURE LIMITATIONS; REPEAL; SCHOOL DISTRICTS,HCR2015 - school districts; expenditure limitation; repeal..,https://apps.azleg.gov/api/Bill/?billNumber=HCR2015&sessionId=127
HCR2016,127,2023_2024_First_Regular,78401,article V convention; term limits,,COOK,CARTER; HERNANDEZ A; SEAMAN; SMITH,ARTICLE V CONVENTION; CONGRESS; TERM LIMITS,HCR2016 - article V convention; term limits,https://apps.azleg.gov/api/Bill/?billNumber=HCR2016&sessionId=127
HCR2017,127,2023_2024_First_Regular,78416,property tax; exemption; primary residence,,JONES,DIAZ; MCGARR; WADSACK,CONSTITUTION OF ARIZONA; EXEMPTION; PRIMARY RESIDENCE; PROPERTY TAX; PROPERTY TAX EXEMPTION,HCR2017 - property tax; exemption; primary residence,https://apps.azleg.gov/api/Bill/?billNumber=HCR2017&sessionId=127
HCR2018,127,2023_2024_First_Regular,78448,Maricopa county; division; new counties,,KOLODIN,CHAPLIK; MARSHALL; PARKER B,DIVISION; LOCATION OF COUNTIES; MARICOPA COUNTY; NEW COUNTIES,HCR2018 - Maricopa county; division; new counties,https://apps.azleg.gov/api/Bill/?billNumber=HCR2018&sessionId=127
HCR2019,127,2023_2024_First_Regular,78449,trial by jury; administrative proceedings,,KOLODIN,CARTER; CHAPLIK; HEAP; JONES; MARSHALL; MCGARR; MONTENEGRO; PARKER B; PARKER J; WILMETH; WADSACK,ADMINISTRATIVE PROCEEDINGS; JURY; TRIAL BY JURY,HCR2019 - trial by jury; administrative proceedings,https://apps.azleg.gov/api/Bill/?billNumber=HCR2019&sessionId=127
HCR2020,127,2023_2024_First_Regular,78450,technical correction; bond elections,,KOLODIN,HARRIS; HEAP; JONES; SMITH,BOND ELECTIONS; CONSTITUTION OF ARIZONA; TECHNICAL CORRECTION,HCR2020 - technical correction; bond elections,https://apps.azleg.gov/api/Bill/?billNumber=HCR2020&sessionId=127
