bill_number,session_num,session,chamber,action_date,action
HCM2001,127,2023_2024_First_Regular,House,1/12/2023,HCM2001 Introduced
HCM2001,127,2023_2024_First_Regular,House,2023-01-26,First Reading Complete
HCM2001,127,2023_2024_First_Regular,House,2023-01-30,Second Reading Complete
HCM2001,127,2023_2024_First_Regular,House,2023-01-26,Assigned to House Committee~GOV (Government)
HCM2001,127,2023_2024_First_Regular,House,2023-01-26,Assigned to House Committee~RULES (Rules)
HCM2002,127,2023_2024_First_Regular,House,1/12/2023,HCM2002 Introduced
HCM2002,127,2023_2024_First_Regular,,2023-02-21,Transmitted to Senate
HCM2002,127,2023_2024_First_Regular,,2023-04-05,Transmitted to House
HCM2002,127,2023_2024_First_Regular,,2023-04-06,Transmitted to Secretary of State
HCM2002,127,2023_2024_First_Regular,Senate,2023-02-27,First Reading Complete
HCM2002,127,2023_2024_First_Regular,House,2023-01-26,First Reading Complete
HCM2002,127,2023_2024_First_Regular,Senate,2023-02-28,Second Reading Complete
HCM2002,127,2023_2024_First_Regular,House,2023-01-30,Second Reading Complete
HCM2002,127,2023_2024_First_Regular,House,2023-01-26,"Assigned to House Committee~LARA (Land, Agriculture & Rural Affairs)"
HCM2002,127,2023_2024_First_Regular,House,2023-02-06,"Reported DP from House Committee~LARA (Land, Agriculture & Rural Affairs)"
HCM2002,127,2023_2024_First_Regular,Senate,2023-02-27,"Assigned to Senate Committee~NREW (Natural Resources, Energy and Water)"
HCM2002,127,2023_2024_First_Regular,Senate,2023-03-23,"Reported DP from Senate Committee~NREW (Natural Resources, Energy and Water)"
HCM2002,127,2023_2024_First_Regular,House,2023-01-26,Assigned to House Committee~RULES (Rules)
HCM2002,127,2023_2024_First_Regular,House,2023-02-13,Reported C&P from House Committee~RULES (Rules)
HCM2002,127,2023_2024_First_Regular,Senate,2023-02-27,Assigned to Senate Committee~RULES (Rules)
HCM2002,127,2023_2024_First_Regular,Senate,2023-03-27,Reported PFC from Senate Committee~RULES (Rules)
HCM2002,127,2023_2024_First_Regular,House,2023-02-21,Passed Third Reading
HCM2002,127,2023_2024_First_Regular,Senate,2023-04-03,Committee of the Whole ~ DP (Do pass)
HCM2002,127,2023_2024_First_Regular,Senate,2023-04-05,Passed Third Reading
HCM2003,127,2023_2024_First_Regular,House,1/12/2023,HCM2003 Introduced
HCM2003,127,2023_2024_First_Regular,,2023-03-02,Transmitted to Senate
HCM2003,127,2023_2024_First_Regular,,2023-04-05,Transmitted to House
HCM2003,127,2023_2024_First_Regular,,2023-04-06,Transmitted to Secretary of State
HCM2003,127,2023_2024_First_Regular,Senate,2023-03-06,First Reading Complete
HCM2003,127,2023_2024_First_Regular,House,2023-02-09,First Reading Complete
HCM2003,127,2023_2024_First_Regular,Senate,2023-03-07,Second Reading Complete
HCM2003,127,2023_2024_First_Regular,House,2023-02-13,Second Reading Complete
HCM2003,127,2023_2024_First_Regular,House,2023-02-09,"Assigned to House Committee~NREW (Natural Resources, Energy & Water)"
HCM2003,127,2023_2024_First_Regular,House,2023-02-14,"Reported DPA/SE from House Committee~NREW (Natural Resources, Energy & Water)"
HCM2003,127,2023_2024_First_Regular,Senate,2023-03-06,"Assigned to Senate Committee~NREW (Natural Resources, Energy and Water)"
