Date,State,Bill No,Title,Action
"May 14, 2024",WI,SB 1014,Authorizes the Department of Health Services (DHS) to Spend $15 Million in Funding on Capital Improvement Grants,"Veto Override Passed
                           - Senate
                      

                      
                          (22 - 9)"
"May 14, 2024",WI,SB 139,Establishes a Statewide Wolf Population Goal,"Veto Override Passed
                           - Senate
                      

                      
                          (22 - 9)"
"March 12, 2024",WI,SB 822,Increases Various Election Security Protections,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (31 - 1)"
"March 12, 2024",WI,AB 610,Requires Colleges Provide Waivers for Vaccination Requirements,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 10)"
"March 12, 2024",WI,AB 377,Prohibits Transgender Girls from Playing on Female Sports Teams,"Bill Passed
                           - Senate
                      

                      
                          (21 - 11)"
"March 12, 2024",WI,AB 1073,Amends Several Worker Compensation Laws,"Bill Passed
                           - Senate
                      

                      
                          (31 - 1)"
"March 12, 2024",WI,AJR 109,"Prohibits Governments from Giving Preferential Treatment to Staff on the Basis of Race, Sex, or National Origin","Joint Resolution Passed
                           - Senate
                      

                      
                          (22 - 10)"
"March 12, 2024",WI,AJR 112,Prohibits the Governor from Using Partial Veto to Create or Increase any Tax or Fee,"Joint Resolution Passed
                           - Senate
                      

                      
                          (22 - 10)"
"Feb. 22, 2024",WI,SJR 54,Establishes the Freedom to Gather in Places of Worship During a State of Emergency,"Concurrence Vote Passed
                           - House
                      

                      
                          (63 - 33)"
"Feb. 22, 2024",WI,SB 1014,Authorizes the Department of Health Services (DHS) to Spend $15 Million in Funding on Capital Improvement Grants,"Bill Passed
                           - House
                      

                      
                          (63 - 34)"
"Feb. 22, 2024",WI,SB 312,Appropriates Funding for Grants to Local Governments and Landowners to Address PFAS Contamination,"Bill Passed
                           - House
                      

                      
                          (63 - 35)"
"Feb. 22, 2024",WI,AB 610,Requires Colleges Provide Waivers for Vaccination Requirements,"Bill Passed
                           - House
                      

                      
                          (62 - 35)"
"Feb. 21, 2024",WI,AB 1026,Authorizes State Public Schools to Hold Students Back for Truancy,"Bill Passed
                           - House
                      

                      
                          (63 - 35)"
"Feb. 20, 2024",WI,AB 476,"Repeals Governor Appointment Powers for Secretary of State, Treasurer, and Attorney General Vacancies","Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 10)"
"Feb. 20, 2024",WI,SB 335,Reduces License Requirements for State School Administrators,"Bill Passed
                           - House
                      

                      
                          (63 - 35)"
"Feb. 20, 2024",WI,AB 638,Authorizes School Curriculum Inspection,"Bill Passed
                           - House
                      

                      
                          (63 - 35)"
"Feb. 20, 2024",WI,SB 687,Specifies that Crossroads College has Authority over the Church of Christ's Property if the Church is Dissolved or ...,"Bill Passed
                           - Senate
                      

                      
                          (23 - 9)"
