"BillType","BillNumber","Sequence","DateAction","Action","Comment","House","ModDate"
"A",4,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",1/12/2024 0:00:00
"A",4,2,1/29/2024 0:00:00,"REP REF AAP",,"A",1/29/2024 0:00:00
"A",4,3,2/8/2024 0:00:00,"REP/ACA 2RA",,"A",2/8/2024 0:00:00
"A",4,4,2/12/2024 0:00:00,"PA","(51-28-0)","A",2/12/2024 0:00:00
"A",4,5,2/12/2024 0:00:00,"R/S REF SBA",,"S",2/14/2024 0:00:00
"A",4,6,3/11/2024 0:00:00,"REP/SCA 2RS",,"S",3/11/2024 0:00:00
"A",4,7,3/18/2024 0:00:00,"SUB FOR","S50 (2R)","S",3/18/2024 0:00:00
"A",4,8,3/18/2024 0:00:00,"PS","(23-14)","S",3/18/2024 0:00:00
"A",4,9,3/18/2024 0:00:00,"R/A 2RAC",,"A",3/18/2024 0:00:00
"A",4,10,3/18/2024 0:00:00,"PA PBH","(50-25-0)","A",3/18/2024 0:00:00
"A",4,11,3/20/2024 0:00:00,"APP","P.L.2024, c.2.","G",3/21/2024 0:00:00
"A",101,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",1/10/2024 0:00:00
"A",102,1,1/9/2024 0:00:00,"INT 1RA REF AST",,"A",1/5/2024 0:00:00
"A",103,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",11/17/2023 0:00:00
"A",104,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/4/2024 0:00:00
"A",105,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",1/10/2024 0:00:00
"A",106,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/11/2024 0:00:00
"A",107,1,1/9/2024 0:00:00,"INT 1RA REF ATG",,"A",11/17/2023 0:00:00
"A",108,1,1/9/2024 0:00:00,"INT 1RA REF ATG",,"A",11/17/2023 0:00:00
"A",109,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/17/2023 0:00:00
"A",110,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",1/11/2024 0:00:00
"A",111,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",1/11/2024 0:00:00
"A",112,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/17/2023 0:00:00
"A",113,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/17/2023 0:00:00
"A",114,1,1/9/2024 0:00:00,"INT 1RA REF ACW",,"A",1/11/2024 0:00:00
"A",115,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",5/8/2024 0:00:00
"A",116,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/17/2023 0:00:00
"A",117,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/17/2023 0:00:00
"A",118,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/17/2023 0:00:00
"A",119,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",11/17/2023 0:00:00
"A",120,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",11/17/2023 0:00:00
"A",121,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",1/11/2024 0:00:00
"A",121,2,1/9/2024 0:00:00,"WITHDRAWN APP","P.L.2023, c.269.","A",1/22/2024 0:00:00
"A",122,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/17/2023 0:00:00
"A",123,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/17/2023 0:00:00
"A",124,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",1/11/2024 0:00:00
"A",125,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/17/2023 0:00:00
"A",126,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",1/11/2024 0:00:00
"A",127,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",1/11/2024 0:00:00
"A",128,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/17/2023 0:00:00
"A",129,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/4/2024 0:00:00
"A",130,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/17/2023 0:00:00
"A",131,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/4/2024 0:00:00
"A",132,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/11/2024 0:00:00
"A",133,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",1/11/2024 0:00:00
"A",134,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",1/11/2024 0:00:00
"A",135,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",1/11/2024 0:00:00
"A",136,1,1/9/2024 0:00:00,"INT 1RA REF ATU",,"A",11/17/2023 0:00:00
"A",137,1,1/9/2024 0:00:00,"INT 1RA REF ATG",,"A",1/11/2024 0:00:00
"A",138,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",1/11/2024 0:00:00
"A",139,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",140,1,1/9/2024 0:00:00,"INT 1RA REF ACW",,"A",1/11/2024 0:00:00
"A",141,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",1/11/2024 0:00:00
"A",142,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",1/11/2024 0:00:00
"A",143,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/11/2024 0:00:00
"A",144,1,1/9/2024 0:00:00,"INT 1RA REF ATU",,"A",11/20/2023 0:00:00
"A",146,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",147,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",148,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/11/2024 0:00:00
"A",150,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",151,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",152,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",153,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/20/2023 0:00:00
"A",155,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",156,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",157,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",158,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/20/2023 0:00:00
"A",159,1,1/9/2024 0:00:00,"INT 1RA REF AOF",,"A",11/20/2023 0:00:00
"A",160,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",161,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",162,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",1/5/2024 0:00:00
"A",163,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",164,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",11/20/2023 0:00:00
"A",165,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",1/5/2024 0:00:00
"A",166,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/23/2024 0:00:00
"A",168,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",169,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",11/20/2023 0:00:00
"A",170,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",1/5/2024 0:00:00
"A",172,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",173,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",11/20/2023 0:00:00
"A",175,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",176,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",177,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",180,1,1/9/2024 0:00:00,"INT 1RA REF ACO",,"A",11/20/2023 0:00:00
"A",181,1,1/9/2024 0:00:00,"INT 1RA REF ARP",,"A",11/20/2023 0:00:00
"A",182,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",183,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",184,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",1/5/2024 0:00:00
"A",185,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",186,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",187,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",188,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",189,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",190,1,1/9/2024 0:00:00,"INT 1RA REF ATU",,"A",11/20/2023 0:00:00
"A",191,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",192,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",193,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/20/2023 0:00:00
"A",195,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",196,1,1/9/2024 0:00:00,"INT 1RA REF ACF",,"A",1/5/2024 0:00:00
"A",197,1,1/9/2024 0:00:00,"INT 1RA REF AAP",,"A",11/20/2023 0:00:00
"A",198,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",1/5/2024 0:00:00
"A",198,2,12/11/2025 0:00:00,"REP/ACA REF AAP",,"A",12/11/2025 0:00:00
"A",199,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",200,1,1/9/2024 0:00:00,"INT 1RA REF ACW",,"A",1/5/2024 0:00:00
"A",201,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",1/5/2024 0:00:00
"A",202,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",203,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",206,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",207,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",208,1,1/9/2024 0:00:00,"INT 1RA REF AFI",,"A",11/20/2023 0:00:00
"A",209,1,1/9/2024 0:00:00,"INT 1RA REF ATU",,"A",11/20/2023 0:00:00
"A",210,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/20/2023 0:00:00
"A",211,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",212,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/20/2023 0:00:00
