bill_number,session_year,session_type,action_date,action,order
SR293,2024,RS,2024-04-15,introduced in Senate,1
SR293,2024,RS,2024-04-15,to Committee on Committees (S),2
SR293,2024,RS,2024-04-15,to Senate Floor,3
SR293,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR293,2024,RS,2024-04-15,adopted 38-0,5
SR294,2024,RS,2024-04-15,introduced in Senate,1
SR294,2024,RS,2024-04-15,to Committee on Committees (S),2
SR294,2024,RS,2024-04-15,to Senate Floor,3
SR294,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR294,2024,RS,2024-04-15,adopted 38-0,5
SR295,2024,RS,2024-04-15,introduced in Senate,1
SR295,2024,RS,2024-04-15,to Committee on Committees (S),2
SR295,2024,RS,2024-04-15,to Senate Floor,3
SR295,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR295,2024,RS,2024-04-15,adopted 38-0,5
SR296,2024,RS,2024-04-15,introduced in Senate,1
SR296,2024,RS,2024-04-15,to Committee on Committees (S),2
SR296,2024,RS,2024-04-15,to Senate Floor,3
SR296,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR296,2024,RS,2024-04-15,adopted 38-0,5
SR297,2024,RS,2024-04-15,introduced in Senate,1
SR297,2024,RS,2024-04-15,to Committee on Committees (S),2
SR297,2024,RS,2024-04-15,to Senate Floor,3
SR297,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR297,2024,RS,2024-04-15,adopted 38-0,5
SR298,2024,RS,2024-04-15,introduced in Senate,1
SR298,2024,RS,2024-04-15,to Committee on Committees (S),2
SR298,2024,RS,2024-04-15,to Senate Floor,3
SR298,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR298,2024,RS,2024-04-15,adopted 38-0,5
SR299,2024,RS,2024-04-15,introduced in Senate,1
SR299,2024,RS,2024-04-15,to Committee on Committees (S),2
SR299,2024,RS,2024-04-15,to Senate Floor,3
SR299,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR299,2024,RS,2024-04-15,adopted 38-0,5
SR300,2024,RS,2024-04-15,introduced in Senate,1
SR300,2024,RS,2024-04-15,to Committee on Committees (S),2
SR300,2024,RS,2024-04-15,to Senate Floor,3
SR300,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR300,2024,RS,2024-04-15,adopted 38-0,5
SR301,2024,RS,2024-04-15,introduced in Senate,1
SR301,2024,RS,2024-04-15,to Committee on Committees (S),2
SR301,2024,RS,2024-04-15,to Senate Floor,3
SR301,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR301,2024,RS,2024-04-15,adopted 38-0,5
SR302,2024,RS,2024-04-15,introduced in Senate,1
SR302,2024,RS,2024-04-15,to Committee on Committees (S),2
SR302,2024,RS,2024-04-15,to Senate Floor,3
SR302,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR302,2024,RS,2024-04-15,adopted 38-0,5
SR303,2024,RS,2024-04-15,introduced in Senate,1
SR303,2024,RS,2024-04-15,to Committee on Committees (S),2
SR303,2024,RS,2024-04-15,to Senate Floor,3
SR303,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR303,2024,RS,2024-04-15,adopted 38-0,5
SR304,2024,RS,2024-04-15,introduced in Senate,1
SR304,2024,RS,2024-04-15,to Committee on Committees (S),2
SR304,2024,RS,2024-04-15,to Senate Floor,3
SR304,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR304,2024,RS,2024-04-15,adopted 38-0,5
SR305,2024,RS,2024-04-15,introduced in Senate,1
SR305,2024,RS,2024-04-15,to Committee on Committees (S),2
SR305,2024,RS,2024-04-15,to Senate Floor,3
SR305,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR305,2024,RS,2024-04-15,adopted 38-0,5
SR306,2024,RS,2024-04-15,introduced in Senate,1
SR306,2024,RS,2024-04-15,to Committee on Committees (S),2
SR306,2024,RS,2024-04-15,to Senate Floor,3
SR306,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR306,2024,RS,2024-04-15,adopted 38-0,5
SR307,2024,RS,2024-04-15,introduced in Senate,1
SR307,2024,RS,2024-04-15,to Committee on Committees (S),2
SR307,2024,RS,2024-04-15,to Senate Floor,3
SR307,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR307,2024,RS,2024-04-15,adopted 38-0,5
SR308,2024,RS,2024-04-15,introduced in Senate,1
SR308,2024,RS,2024-04-15,to Committee on Committees (S),2
SR308,2024,RS,2024-04-15,to Senate Floor,3
SR308,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR308,2024,RS,2024-04-15,adopted 38-0,5
SR309,2024,RS,2024-04-15,introduced in Senate,1
SR309,2024,RS,2024-04-15,to Committee on Committees (S),2
SR309,2024,RS,2024-04-15,to Senate Floor,3
SR309,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR309,2024,RS,2024-04-15,adopted 38-0,5
SR310,2024,RS,2024-04-15,introduced in Senate,1
SR310,2024,RS,2024-04-15,to Committee on Committees (S),2
SR310,2024,RS,2024-04-15,to Senate Floor,3
SR310,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR310,2024,RS,2024-04-15,adopted 38-0,5
SR311,2024,RS,2024-04-15,introduced in Senate,1
SR311,2024,RS,2024-04-15,to Committee on Committees (S),2
SR311,2024,RS,2024-04-15,to Senate Floor,3
SR311,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR311,2024,RS,2024-04-15,adopted 38-0,5
SR312,2024,RS,2024-04-15,introduced in Senate,1
SR312,2024,RS,2024-04-15,to Committee on Committees (S),2
SR312,2024,RS,2024-04-15,to Senate Floor,3
