bill_number,session_year,session_type,title,sponsors,summary,bill_url
SR293,2024,RS,A RESOLUTION confirming the reappointment of William David Donan to the Mine Safety Review Commission.,J. Adams,"Confirm the reappointment of William David Donan to the Mine Safety Review Commission for a term expiring May 23, 2027.",https://apps.legislature.ky.gov/record/24rs/SR293.html
SR294,2024,RS,A RESOLUTION confirming the appointment of Amber Powell to the Board of Nursing.,J. Adams,"Confirm the appointment of Amber Powell to the Board of Nursing for a term expiring June 30, 2027.",https://apps.legislature.ky.gov/record/24rs/SR294.html
SR295,2024,RS,A RESOLUTION confirming the reappointment of Mary Pat Regan to the Public Service Commission.,J. Adams,"Confirm the reappointment of Mary Pat Regan to the Public Service Commission for a term expiring July 1, 2027.",https://apps.legislature.ky.gov/record/24rs/SR295.html
SR296,2024,RS,A RESOLUTION confirming the appointment of Michael Edward Berry to the Kentucky State Fair Board.,J. Adams,"Confirm the appointment of Michael Berry to the Kentucky State Fair Board for a term expiring June 5, 2027.",https://apps.legislature.ky.gov/record/24rs/SR296.html
SR297,2024,RS,A RESOLUTION confirming the reappointment of Tony Colyer to the Board of Tax Appeals.,J. Adams,"Confirm the reappointment of Tony Colyer to the Board of Tax Appeals for a term expiring June 29, 2027.",https://apps.legislature.ky.gov/record/24rs/SR297.html
SR298,2024,RS,A RESOLUTION confirming the appointment of Karen Sherfey to the Board of Nursing.,J. Adams,"Confirm the appointment of Karen Sherfey to the Board of Nursing for a term expiring June 30, 2027.",https://apps.legislature.ky.gov/record/24rs/SR298.html
SR299,2024,RS,A RESOLUTION confirming the appointment of Miriam Haas to the Board of Nursing.,J. Adams,"Confirm the appointment of Miriam Haas to the Board of Nursing for a term expiring June 30, 2027.",https://apps.legislature.ky.gov/record/24rs/SR299.html
SR300,2024,RS,A RESOLUTION confirming the reappointment of Diana F. Berry to the Education Professional Standards Board.,J. Adams,"Confirm the reappointment of Diana F. Berry to the Education Professional Standards Board for a term expiring June 30, 2026.",https://apps.legislature.ky.gov/record/24rs/SR300.html
SR301,2024,RS,A RESOLUTION confirming the reappointment of Sarah Weedman to the Education Professional Standards Board.,J. Adams,"Confirm the reappointment of Sarah Weedman to the Education Professional Standards Board for a term expiring June 30, 2026.",https://apps.legislature.ky.gov/record/24rs/SR301.html
SR302,2024,RS,A RESOLUTION confirming the reappointment of Amy Shearer Lingo to the Education Professional Standards Board.,J. Adams,"Confirm the reappointment of Amy Shearer Lingo to the Education Professional Standards Board for a term expiring June 30, 2026.",https://apps.legislature.ky.gov/record/24rs/SR302.html
SR303,2024,RS,A RESOLUTION confirming the reappointment of Cathy Chanelle Gunn to the Education Professional Standards Board.,J. Adams,"Confirm the reappointment of Cathy Chanelle Gunn to the Education Professional Standards Board for a term expiring June 30, 2026.",https://apps.legislature.ky.gov/record/24rs/SR303.html
SR304,2024,RS,A RESOLUTION confirming the appointment of Andrew Belcher to the Governor's Postsecondary Education Nominating Committee.,J. Adams,"Confirm the appointment of Andrew Belcher to the Governor's Postsecondary Education Nominating Committee for a term expiring April 14, 2026.",https://apps.legislature.ky.gov/record/24rs/SR304.html
SR305,2024,RS,A RESOLUTION confirming the reappointment of Amy Roe Leenerts to the Crime Victims Compensation Board.,J. Adams,"Confirm the reappointment of Amy Roe Leenerts to the Crime Victims Compensation Board for a term expiring July 1, 2027.",https://apps.legislature.ky.gov/record/24rs/SR305.html
SR306,2024,RS,A RESOLUTION confirming the appointment of James Paul Cousins to the Education Professional Standards Board.,J. Adams,"Confirm the appointment of James Paul Cousins to the Education Professional Standards Board for a term expiring June 30, 2025.",https://apps.legislature.ky.gov/record/24rs/SR306.html
SR307,2024,RS,A RESOLUTION confirming the reappointment of Christopher John Fryer to the Education Professional Standards Board.,J. Adams,"Confirm the reappointment of Christopher John Fryer to the Education Professional Standards Board for a term expiring June 30, 2026.",https://apps.legislature.ky.gov/record/24rs/SR307.html
SR308,2024,RS,A RESOLUTION confirming the appointment of Darris Russell to the Mine Safety Review Commission.,J. Adams,"Confirm the appointment of Darris Russell to the Mine Safety Review Commission for a term expiring April 24, 2027.",https://apps.legislature.ky.gov/record/24rs/SR308.html
SR309,2024,RS,A RESOLUTION confirming the appointment of Mary G. Eaves to the Board of Trustees of the Kentucky Retirement Systems.,J. Adams,"Confirm the appointment of Mary G. Eaves to the Board of Trustees of the Kentucky Retirement Systems for a term expiring June 21, 2027.",https://apps.legislature.ky.gov/record/24rs/SR309.html
SR310,2024,RS,A RESOLUTION confirming the reappointment of Caswell Prewitt Lane to the Board of Trustees of the Kentucky Retirement Systems.,J. Adams,"Confirm the reappointment of Caswell Prewitt Lane to the Board of Trustees of the Kentucky Retirement Systems for a term expiring June 17, 2027.",https://apps.legislature.ky.gov/record/24rs/SR310.html
SR311,2024,RS,A RESOLUTION confirming the appointment of William Henry Jones Jr. to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority.,J. Adams,"Confirm the appointment of William Henry Jones Jr. to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority for a term expiring December 31, 2025.",https://apps.legislature.ky.gov/record/24rs/SR311.html
SR312,2024,RS,A RESOLUTION confirming the appointment of Diana W. Woods to the Kentucky Board of Education.,J. Adams,"Confirm the appointment of Diana W. Woods to the Kentucky Board of Education for a term expiring April 14, 2026.",https://apps.legislature.ky.gov/record/24rs/SR312.html
SR313,2024,RS,A RESOLUTION confirming the reappointment of Pamela Fettig Thompson to the Board of Trustees of the Kentucky Retirement Systems.,J. Adams,"Confirm the reappointment of Pamela Fettig Thompson to the Board of Trustees of the Kentucky Retirement Systems for a term expiring June 17, 2027.",https://apps.legislature.ky.gov/record/24rs/SR313.html
SR314,2024,RS,A RESOLUTION confirming the reappointment of Dr. Thomas Gerald Abell to the Kentucky Lottery Corporation Board of Directors.,J. Adams,"Confirm the reappointment of Dr. Thomas Gerald Abell to the Kentucky Lottery Corporation Board of Directors for a term expiring November 28, 2027.",https://apps.legislature.ky.gov/record/24rs/SR314.html
SR315,2024,RS,A RESOLUTION confirming the reappointment of Kellie D. Wilson to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority.,J. Adams,"Confirm the reappointment of Kellie D. Wilson to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority for a term expiring December 31, 2027.",https://apps.legislature.ky.gov/record/24rs/SR315.html
SR316,2024,RS,A RESOLUTION confirming the reappointment of Mark Anthony Workman to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority.,J. Adams,"Confirm the reappointment of Mark Anthony Workman to the Board of Directors of Kentucky Employers' Mutual Insurance Authority for a term expiring December 31, 2027.",https://apps.legislature.ky.gov/record/24rs/SR316.html
SR317,2024,RS,A RESOLUTION confirming the reappointment of Dr. Mark Edward Lynn to the Kentucky State Fair Board.,J. Adams,"Confirm the reappointment of Dr. Mark Edward Lynn to the Kentucky State Fair Board for a term expiring March 30, 2026.",https://apps.legislature.ky.gov/record/24rs/SR317.html
SR318,2024,RS,A RESOLUTION confirming the appointment of AnYu Chen to the Board of Physicians and Advisors.,J. Adams,Confirm the appointment of AnYu Chen to the Board of Physicians and Advisors.,https://apps.legislature.ky.gov/record/24rs/SR318.html
SR319,2024,RS,A RESOLUTION confirming the appointment of Jennifer Harpe-Bates to the Board of Nursing.,J. Adams,"Confirm the appointment of Jennifer Harpe-Bates to the Board of Nursing for a term expiring June 30, 2027.",https://apps.legislature.ky.gov/record/24rs/SR319.html
SR320,2024,RS,A RESOLUTION confirming the appointment of Ryan Grell to the Board of Physicians and Advisors.,J. Adams,Confirm the appointment of Ryan Grell to the Board of Physicians and Advisors.,https://apps.legislature.ky.gov/record/24rs/SR320.html
SR321,2024,RS,A RESOLUTION confirming the appointment of Leigh Ann Wiggins to the Parole Board.,J. Adams,"Confirm the appointment of Leigh Ann Wiggins to the Parole Board for a term expiring August 1, 2027.",https://apps.legislature.ky.gov/record/24rs/SR321.html
SR322,2024,RS,A RESOLUTION confirming the appointment of Michael Eaves to the Personnel Board.,J. Adams,"Confirm the appointment of Michael Eaves to the Personnel Board for a term expiring January 1, 2025.",https://apps.legislature.ky.gov/record/24rs/SR322.html
SR323,2024,RS,A RESOLUTION confirming the appointment of Darlena Jones to the Board of Nursing.,J. Adams,"Confirm the appointment of Darlena Jones to the Board of Nursing for a term expiring June 30, 2027.",https://apps.legislature.ky.gov/record/24rs/SR323.html
SR324,2024,RS,A RESOLUTION confirming the appointment of Louis R. Straub II to the Board of Trustees of the Teachers' Retirement System.,J. Adams,"Confirm the appointment of Louis R. Straub II to the Board of Trustees of the Teachers' Retirement System for a term expiring July 11, 2027.",https://apps.legislature.ky.gov/record/24rs/SR324.html
SR325,2024,RS,A RESOLUTION confirming the appointment of Charles Roberts to the Board of Physicians and Advisors.,J. Adams,Confirm the appointment of Charles Roberts to the Board of Physicians and Advisors.,https://apps.legislature.ky.gov/record/24rs/SR325.html
SR326,2024,RS,A RESOLUTION confirming the appointment of Frederick A. Stine to the Board of Physicians and Advisors.,J. Adams,Confirm the appointment of Frederick A. Stine to the Board of Physicians and Advisors.,https://apps.legislature.ky.gov/record/24rs/SR326.html
SR329,2024,RS,A RESOLUTION confirming the appointment of Elizabeth Griffin McCoy to the University of Kentucky Board of Trustees.,W. Westerfield,"Confirm the appointment of Elizabeth Griffin McCoy to the University of Kentucky Board of Trustees for a term expiring June 30, 2028.",https://apps.legislature.ky.gov/record/24rs/SR329.html
SR330,2024,RS,A RESOLUTION confirming the appointment of Derrick Helm to the Kentucky Lottery Corporation Board of Directors.,R. Girdler,"Confirm the appointment of Derrick Helm to the Kentucky Lottery Corporation Board of Directors for a term expiring November 28, 2027.",https://apps.legislature.ky.gov/record/24rs/SR330.html
SR331,2024,RS,A RESOLUTION confirming the appointment of Gary Robertson to the Kentucky Public Transportation Infrastructure Authority.,R. Girdler,"Confirm the appointment of Gary Robertson to the Kentucky Public Transportation Infrastructure Authority for a term expiring April 28, 2026.",https://apps.legislature.ky.gov/record/24rs/SR331.html
SR332,2024,RS,A RESOLUTION confirming the appointment of Benjamin L. Hale to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority.,R. Girdler,"Confirm the appointment of Benjamin L. Hale to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority for a term expiring December 31, 2025.",https://apps.legislature.ky.gov/record/24rs/SR332.html
SR333,2024,RS,A RESOLUTION confirming the appointment of Gary Greene to the Fish and Wildlife Resources Commission.,R. Webb,"Confirm the appointment of Gary Greene to the Fish and Wildlife Resources Commission for a term expiring on December 31, 2026.",https://apps.legislature.ky.gov/record/24rs/SR333.html
SR334,2024,RS,A RESOLUTION confirming the reappointment of Rodney W. Casada to the Board of Directors of the Kentucky Employers' Mutual Insurance Authority.,R. Girdler,"Confirm the reappointment of Robert W. Casada to the Board of Directors of Kentucky Employers' Mutual Insurance Authority for a term expiring December 31, 2027.",https://apps.legislature.ky.gov/record/24rs/SR334.html
SR335,2024,RS,A RESOLUTION confirming the reappointment of Edward Hoppy Bennett to the Kentucky State Fair Board.,J. Higdon,"Confirm the reappointment of Edward Hoppy Bennett to the Kentucky State Fair Board for a term expiring May 10, 2027.",https://apps.legislature.ky.gov/record/24rs/SR335.html
SR356,2024,RS,A RESOLUTION confirming the appointment of G.L. Ovey to the Murray State University Board of Regents.,J. Howell,"Confirm the appointment of G.L. Ovey to the Murray State University Board of Regents for a term expiring July 9, 2029.",https://apps.legislature.ky.gov/record/24rs/SR356.html
SR357,2024,RS,A RESOLUTION confirming the appointment of Matthew Edwin Price to the Murray State University Board of Regents.,J. Howell,"Confirm the appointment of Matthew Edwin Price to the Murray State University Board of Regents for a term expiring June 30, 2027.",https://apps.legislature.ky.gov/record/24rs/SR357.html
SR362,2024,RS,A RESOLUTION confirming the reappointment of Dr. David Williams to the Kentucky State Fair Board.,A. Mays Bledsoe,"Confirm the reappointment of Dr. David Williams to the Kentucky State Fair Board for a term expiring May 10, 2027.",https://apps.legislature.ky.gov/record/24rs/SR362.html
SR363,2024,RS,A RESOLUTION confirming the appointment of Walter Robertson to the Fish and Wildlife Resources Commission.,A. Mays Bledsoe,"Confirm the appointment of Walter Robertson to the Fish and Wildlife Commission for a term expiring December 31, 2027.",https://apps.legislature.ky.gov/record/24rs/SR363.html
SR364,2024,RS,A RESOLUTION confirming the reappointment of Joe T. Goggin to the Kentucky State Fair Board.,A. Mays Bledsoe,"Confirm the reappointment of Joe T. Goggin to the Kentucky State Fair Board for a term expiring May 10, 2026.",https://apps.legislature.ky.gov/record/24rs/SR364.html
SR373,2024,RS,A RESOLUTION confirming the reappointment of Dan Flanagan to the Kentucky Agricultural Finance Corporation Board of Directors.,M. Wise,"Confirm the reappointment of Dan Flanagan to the Kentucky Agricultural Finance Corporation Board of Directors for a term expiring June 26, 2027.",https://apps.legislature.ky.gov/record/24rs/SR373.html
SR376,2024,RS,"A RESOLUTION congratulating Charles Edward ""Chuck"" Meade on his appointment to the Fish and Wildlife Resources Commission.",J. Turner,"Congratulate Charles Edward ""Chuck"" Meade on his appointment to the Fish and Wildlife Resources Commission.",https://apps.legislature.ky.gov/record/24rs/SR376.html
