bill_id,session,chamber,action_date,action,order,journal_page
SB0001,2023_2024_RS,Senate,2024-04-30,Died in Committee,5,
SB0001,2023_2024_RS,Senate,2023-01-11,Withdrawn from Committee on Judiciary; Referred toCommittee on Federal and State Affairs,4,16
SB0001,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Judiciary,3,10
SB0001,2023_2024_RS,Senate,2023-01-09,Introduced,2,2
SB0001,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Tuesday, December 13, 2022",1,
SB0002,2023_2024_RS,Senate,2024-04-30,Died in Committee,7,
SB0002,2023_2024_RS,Senate,2023-02-02,Withdrawn from Calendar; Referred toCommittee on Judiciary,6,
SB0002,2023_2024_RS,Senate,2023-02-02,Committee Report recommending bill be passed as amended byCommittee on Transportation,5,
SB0002,2023_2024_RS,Senate,2023-01-24,"Hearing: Tuesday, January 24, 2023, 8:30 AM Room 546-S",4,
SB0002,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Transportation,3,
SB0002,2023_2024_RS,Senate,2023-01-09,Introduced,2,
SB0002,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Monday, December 19, 2022",1,
SB0003,2023_2024_RS,Senate,2023-04-24,"Approved by Governor on Friday, April 7, 2023",15,
SB0003,2023_2024_RS,Senate,2023-04-03,"Enrolled and presented to Governor on Monday, April 3, 2023",14,
SB0003,2023_2024_RS,House,2023-03-27,Emergency Final Action - Passed; Yea: 119 Nay: 4,13,
SB0003,2023_2024_RS,House,2023-03-27,Committee of the Whole - Be passed,12,
SB0003,2023_2024_RS,House,2023-03-22,Committee Report recommending bill be passed byCommittee on Federal and State Affairs,11,
SB0003,2023_2024_RS,House,2023-03-09,"Hearing: Thursday, March 9, 2023, 9:00 AM Room 346-S",10,
SB0003,2023_2024_RS,House,2023-03-01,Referred toCommittee on Federal and State Affairs,9,
SB0003,2023_2024_RS,House,2023-03-01,Received and Introduced,8,
SB0003,2023_2024_RS,Senate,2023-02-23,Final Action - Passed; Yea: 40 Nay: 0,7,
SB0003,2023_2024_RS,Senate,2023-02-22,Committee of the Whole - Be passed,6,
SB0003,2023_2024_RS,Senate,2023-01-19,Committee Report recommending bill be passed byCommittee on Federal and State Affairs,5,
SB0003,2023_2024_RS,Senate,2023-01-18,"Hearing: Wednesday, January 18, 2023, 10:30 AM Room 144-S",4,
SB0003,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Federal and State Affairs,3,
SB0003,2023_2024_RS,Senate,2023-01-09,Introduced,2,
SB0003,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Tuesday, December 20, 2022",1,
SB0004,2023_2024_RS,Senate,2024-04-30,Died in Committee,5,
SB0004,2023_2024_RS,Senate,2023-01-19,"Hearing: Thursday, January 19, 2023, 9:30 AM Room 548-S",4,
SB0004,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Assessment and Taxation,3,10
SB0004,2023_2024_RS,Senate,2023-01-09,Introduced,2,2
SB0004,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Tuesday, December 27, 2022",1,
SB0005,2023_2024_RS,House,2024-04-30,Died in House Committee,10,
SB0005,2023_2024_RS,House,2023-03-01,Referred toCommittee on Health and Human Services,9,
SB0005,2023_2024_RS,House,2023-03-01,Received and Introduced,8,
SB0005,2023_2024_RS,Senate,2023-02-23,Final Action - Passed; Yea: 27 Nay: 12,7,
SB0005,2023_2024_RS,Senate,2023-02-22,Committee of the Whole - Be passed,6,
SB0005,2023_2024_RS,Senate,2023-02-21,Committee Report recommending bill be passed byCommittee on Public Health and Welfare,5,
SB0005,2023_2024_RS,Senate,2023-02-15,"Hearing: Wednesday, February 15, 2023, 8:30 AM Room 142-S",4,
SB0005,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Public Health and Welfare,3,
SB0005,2023_2024_RS,Senate,2023-01-09,Introduced,2,
SB0005,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Thursday, December 29, 2022",1,
SB0006,2023_2024_RS,House,2024-04-30,Died in House Committee,10,
SB0006,2023_2024_RS,House,2023-03-01,Referred toCommittee on Health and Human Services,9,
SB0006,2023_2024_RS,House,2023-03-01,Received and Introduced,8,
SB0006,2023_2024_RS,Senate,2023-02-23,Final Action - Passed; Yea: 22 Nay: 18,7,
SB0006,2023_2024_RS,Senate,2023-02-22,Committee of the Whole - Be passed,6,
SB0006,2023_2024_RS,Senate,2023-02-21,Committee Report recommending bill be passed byCommittee on Public Health and Welfare,5,
SB0006,2023_2024_RS,Senate,2023-02-13,"Hearing: Monday, February 13, 2023, 8:30 AM Room 142-S",4,
SB0006,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Public Health and Welfare,3,
SB0006,2023_2024_RS,Senate,2023-01-09,Introduced,2,
SB0006,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Thursday, December 29, 2022",1,
SB0007,2023_2024_RS,Senate,2024-04-30,Died in Committee,5,
SB0007,2023_2024_RS,Senate,2023-01-25,"Hearing: Wednesday, January 25, 2023, 9:30 AM Room 548-S",4,
SB0007,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Assessment and Taxation,3,10
SB0007,2023_2024_RS,Senate,2023-01-09,Introduced,2,2
SB0007,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Tuesday, January 3, 2023",1,
SB0008,2023_2024_RS,Senate,2023-04-28,"The Legislature having adjourned sine die on April 28, 2023, there was no opportunity to reconsider and the veto is sustained.",25,
SB0008,2023_2024_RS,Senate,2023-04-28,"Vetoed by Governor; Returned to Senate on Friday, May 12, 2023",24,
SB0008,2023_2024_RS,Senate,2023-04-28,"Enrolled and presented to Governor on Friday, May 5, 2023",23,
SB0008,2023_2024_RS,Senate,2023-04-27,Conference Committee Report was adopted; Yea: 26 Nay: 13,22,
SB0008,2023_2024_RS,Senate,2023-04-27,Motion to suspend Joint Rule 4 (k) to allow consideration adopted;,21,
SB0008,2023_2024_RS,House,2023-04-06,Conference Committee Report was adopted; Yea: 76 Nay: 43,20,
SB0008,2023_2024_RS,House,2023-04-06,Substitute motion to not adopt and appoint a conference committee failed,19,
SB0008,2023_2024_RS,House,2023-04-06,Conference committee report now available,18,
SB0008,2023_2024_RS,House,2023-04-03,"Motion to accede adopted; Representative Smith, A., Representative Bergkamp and Representative Sawyer appointed as conferees",17,
SB0008,2023_2024_RS,Senate,2023-04-03,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Tyson , Senator Peck and Senator Holland as conferees",16,
SB0008,2023_2024_RS,House,2023-03-29,Final Action - Passed as amended; Yea: 122 Nay: 2,15,
SB0008,2023_2024_RS,House,2023-03-28,Committee of the Whole - Be passed as amended,14,
SB0008,2023_2024_RS,House,2023-03-28,Committee of the Whole - Committee Report be adopted,13,
SB0008,2023_2024_RS,House,2023-03-23,Committee Report recommending bill be passed as amended byCommittee on Taxation,12,
SB0008,2023_2024_RS,House,2023-03-15,"Hearing: Wednesday, March 15, 2023, 3:30 PM Room 346-S",11,
SB0008,2023_2024_RS,House,2023-03-01,Referred toCommittee on Taxation,10,
SB0008,2023_2024_RS,House,2023-03-01,Received and Introduced,9,
SB0008,2023_2024_RS,Senate,2023-02-23,Emergency Final Action - Passed as amended; Yea: 39 Nay: 0,8,
SB0008,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Be passed as amended,7,
SB0008,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Committee Report be adopted,6,
SB0008,2023_2024_RS,Senate,2023-02-20,Committee Report recommending bill be passed as amended byCommittee on Assessment and Taxation,5,
