bill_id,term,session,title,keywords,summary,commem
SB1395,2023_2024,RS1,indigenous peoples; civil rights holidays,CIVIL RIGHTS HOLIDAYS; GENERAL PROVISIONS - TITLE 1; HOLIDAYS; HOLIDAYS ENUMERATED; INDIGENOUS PEOPLES,indigenous peoples; civil rights holidays,0
SB1627,2023_2024,RS1,technical correction; Arbor day,ARBOR DAY; GENERAL PROVISIONS - TITLE 1; STATE HOLIDAYS; TECHNICAL CORRECTION,technical correction; Arbor day,1
SB1140,2023_2024,RS2,technical correction; Arbor day,ARBOR DAY; GENERAL PROVISIONS - TITLE 1; PROCLAMATION; STATE HOLIDAYS; TECHNICAL CORRECTION,technical correction; Arbor day,1
SB1110,2023_2024,RS2,monument and memorial repair fund,ANNUAL REPORT; EXEMPTION; MONUMENT AND MEMORIAL REPAIR FUND; PURPOSE; STATE GOVERNMENT - TITLE 41; STATE MONUMENT AND MEMORIAL REPAIR FUND,monument and memorial repair fund,0
HB2824,2023_2024,RS2,students; community service commendation,ADE (SEE ALSO: DEPARTMENT OF EDUCATION); ARIZONA DEPARTMENT OF EDUCATION; COMMUNITY SERVICE COMMENDATION; EDUCATION - TITLE 15; HIGH SCHOOL STUDENTS; RETROACTIVITY; STUDENTS,students; community service commendation,1
SB1628,2023_2024,RS1,public offices; holidays; technical correction,GENERAL PROVISIONS - TITLE 1; HOLIDAYS; PUBLIC OFFICES; TECHNICAL CORRECTION,public offices; holidays; technical correction,1
SB1009,2023_2024,RS1,criminal damage; monuments; memorials; statues,AGGRAVATED CRIMINAL DAMAGE; CLASSIFICATION; CRIMINAL CODE - TITLE 13; CRIMINAL DAMAGE; MEMORIALS; MONUMENTS; STATUES,criminal damage; monuments; memorials; statues,0
SB1303,2023_2024,RS2,ABOR; high school honors endorsements,ABOR (SEE ALSO: ARIZONA BOARD OF REGENTS); ARIZONA BOARD OF REGENTS (ABOR); DEFINITIONS; EDUCATION - TITLE 15; HIGH SCHOOL HONORS ENDORSEMENTS; POWERS AND DUTIES OF BOARD,ABOR; high school honors endorsements,1
HB2187,2023_2024,RS1,day of racial healing; observed,DAY OF RACIAL HEALING; GENERAL PROVISIONS - TITLE 1; HOLIDAYS; OBSERVED,day of racial healing; observed,1
HB2001,2023_2024,RS2,day of racial healing; observed,DAY OF RACIAL HEALING; GENERAL PROVISIONS - TITLE 1; HOLIDAYS; OBSERVED,day of racial healing; observed,1
HB2304,2023_2024,RS2,Buffalo Soldiers Arizona territory monument,BUFFALO SOLDIERS ARIZONA TERRITORY MONUMENT,Buffalo Soldiers Arizona territory monument,1
HB2798,2023_2024,RS2,peace pole monument; governmental mall,GOVERNMENTAL MALL; PEACE POLE MONUMENT; ROTARY INTERNATIONAL PEACE POLE MONUMENT,peace pole monument; governmental mall,1
SB1513,2023_2024,RS2,peace pole monument; governmental mall.,DELAYED REPEAL; GOVERNMENTAL MALL; PEACE POLE MONUMENT; PROCEDURES; PROVIDING; ROTARY INTERNATIONAL; ROTARY INTERNATIONAL PEACE POLE MONUMENT,peace pole monument; governmental mall.,1
HB2171,2023_2024,RS1,Don Bolles memorial.,DELAYED REPEAL; DON BOLLES MEMORIAL; WESLEY BOLIN PLAZA,Don Bolles memorial.,1
SB1039,2023_2024,RS1,Don Bolles memorial,DELAYED REPEAL; DON BOLLES; DON BOLLES MEMORIAL; MEMORIAL; PROCEDURES,Don Bolles memorial,1
HB2595,2023_2024,RS2,Don Bolles memorial,DELAYED REPEAL; DON BOLLES MEMORIAL; WESLEY BOLIN PLAZA,Don Bolles memorial,1
HB2330,2023_2024,RS1,post-traumatic stress injury day,GENERAL PROVISIONS - TITLE 1; HOLIDAYS; POST-TRAUMATIC STRESS INJURY DAY,post-traumatic stress injury day,1
HB2577,2023_2024,RS2,post-traumatic stress injury day,GENERAL PROVISIONS - TITLE 1; HOLIDAYS; POST-TRAUMATIC STRESS INJURY DAY,post-traumatic stress injury day,1
HB2805,2023_2024,RS2,holiday; Indigenous Peoples' day.,GENERAL PROVISIONS - TITLE 1; HOLIDAYS; INDIGENOUS PEOPLES' DAY,holiday; Indigenous Peoples' day.,0
SB1694,2023_2024,RS2,holiday; Indigenous Peoples' day,GENERAL PROVISIONS - TITLE 1; HOLIDAY; HOLIDAYS; HOLIDAYS ENUMERATED; INDIGENOUS PEOPLES' DAY,holiday; Indigenous Peoples' day,0
HB2515,2023_2024,RS1,holiday; Indigenous Peoples' day,GENERAL PROVISIONS - TITLE 1; HOLIDAYS; INDIGENOUS PEOPLES' DAY,holiday; Indigenous Peoples' day,0
SB1635,2023_2024,RS1,holiday; Indigenous Peoples' day.,GENERAL PROVISIONS - TITLE 1; HOLIDAY; HOLIDAYS; INDIGENOUS PEOPLES' DAY,holiday; Indigenous Peoples' day.,0
SB1141,2023_2024,RS2,public offices; holidays; technical correction,CLOSING OF OFFICES AND COURTS; GENERAL PROVISIONS - TITLE 1; HOLIDAYS; PUBLIC OFFICES; TECHNICAL CORRECTION; TRANSACTION OF CERTAIN JUDICIAL BUSINESS,public offices; holidays; technical correction,0
SB1286,2023_2024,RS2,elections; voting centers; polling places,APPOINTMENT OF ELECTION BOARDS; CONDUCT OF ELECTIONS; DESIGNATION OF ELECTION PRECINCTS; DESIGNATION OF POLLING PLACES; EDUCATION - TITLE 15; ELECTION DAYS (H); ELECTIONEERING; ELECTIONS; ELECTIONS AND ELECTORS - TITLE 16; HOLIDAYS; POLLING PLACES; QUALIFICATIONS; VOTING CENTERS; WAIT TIMES,elections; voting centers; polling places,0
SB1174,2023_2024,RS2,tuition; family; posttraumatic stress; suicide,ABOR (SEE ALSO: ARIZONA BOARD OF REGENTS) (H); ADVS (SEE ALSO: DEPARTMENT OF VETERANS' SERVICES) (H); ARIZONA BOARD OF REGENTS (ABOR) (H); ARIZONA FALLEN FIREFIGHTER MEMORIAL COMMITTEE (H); ARIZONA PEACE OFFICERS MEMORIAL BOARD (H); DEFINITIONS; DELAYED REPEAL; DEPARTMENT OF VETERANS' SERVICES (ADVS) (H); EDUCATION - TITLE 15; ELIGIBILITY; FAMILY; POSTSECONDARY INSTITUTIONS; POSTTRAUMATIC STRESS; REIMBURSEMENT; RETROACTIVITY; SUICIDE; TUITION; TUITION WAIVER SCHOLARSHIP,tuition; family; posttraumatic stress; suicide,0
HB2001,2023_2024,RS1,department of health services; rulemaking,ADMINISTRATIVE PROCEDURES; DEPARTMENT OF HEALTH SERVICES (DHS); DHS (SEE ALSO: DEPARTMENT OF HEALTH SERVICES); RULEMAKING; STATE GOVERNMENT - TITLE 41,department of health services; rulemaking,0
HB2002,2023_2024,RS1,DOC officers; personnel system; covered,COVERAGE; DOC (SEE ALSO: STATE DEPARTMENT OF CORRECTIONS); OFFICERS; STATE DEPARTMENT OF CORRECTIONS (DOC); STATE GOVERNMENT - TITLE 41; STATE PERSONNEL SYSTEM,DOC officers; personnel system; covered,0
HB2003,2023_2024,RS1,corporate income tax; rates,CORPORATE INCOME TAX; RATES; RETROACTIVITY; TAXATION OF INCOME - TITLE 43,corporate income tax; rates,0
HB2004,2023_2024,RS1,vehicle accidents; financial responsibility,FINANCIAL RESPONSIBILITY; FINANCIAL RESPONSIBILITY VERIFICATION; TRANSPORTATION - TITLE 28; VEHICLE ACCIDENTS,vehicle accidents; financial responsibility,0
HB2005,2023_2024,RS1,foreign captive insurers; definition,ALIEN CAPTIVE INSURER; DEFINITION; FOREIGN CAPTIVE INSURERS; INSURANCE - TITLE 20,foreign captive insurers; definition,0
HB2006,2023_2024,RS1,insurance; liquidity; financial assessment,FINANCIAL ASSESSMENT; INSURANCE - TITLE 20; LIQUIDITY,insurance; liquidity; financial assessment,0
HB2007,2023_2024,RS1,group excess liability insurance,GROUP EXCESS LIABILITY INSURANCE; INSURANCE - TITLE 20,(NOW: insurance; group excess liability),0
HB2008,2023_2024,RS1,ASRS; contribution prepayment,ARIZONA STATE RETIREMENT SYSTEM (ASRS); ASRS (SEE ALSO: ARIZONA STATE RETIREMENT SYSTEM); CONTRIBUTION PREPAYMENT; EMPLOYER CONTRIBUTIONS; PUBLIC OFFICERS AND EMPLOYEES - TITLE 38,ASRS; contribution prepayment,0
